TF	Number_of_ChIPexp	q_value_mean	baseMean	log2FoldChange	lfcSE	pvalue	padj
GATA1	49	1.65420333884e-10	6.24494853957e-24	0.418732670356	0.502207924291	2.74641402445e-24	0.0343422847894
NOTC1	5	0.000225738843767	1.79566715937e-09	0.347885512402	0.502207924291	5.03258474419e-09	0.37127408837
CCND1	1	0.000243255859227	1.90358265834e-08	0.169350567389	0.502207924291	7.07261704112e-09	0.0743865554877
MAX	7	3.91069737111e-07	1.18855611892e-16	0.399125971362	0.502207924291	2.61426639572e-15	0.146861501753
MAZ	2	1.72261239272e-07	1.16022150327e-15	0.330014601521	0.502207924291	4.3236047669e-18	0.182445947911
AHR	11	0.0274626713301	0.00561292330568	0.326249575036	0.502207924291	0.00101095680728	0.0168019106915
CSN1	2	2.94837054376e-05	3.52118641258e-12	0.14105669618	0.502207924291	1.15527167087e-09	0.0773143142667
MAF	6	3.43681233333e-13	4.38759266222e-32	0.338469812166	0.502207924291	1.09536892782e-28	0.00586933462981
CTCF	116	8.4205663773e-06	4.73187337315e-07	0.45458331143	0.502207924291	1.68287590497e-18	0.232875747854
ATF7	1	0.00230725959368	2.76619200794e-06	0.372665920464	0.502207924291	8.59980839044e-07	0.146861501753
BACH2	1	7.21696035081e-07	1.14231410431e-16	0.429159440167	0.502207924291	6.2204227576e-12	0.0012783916484
SOX17	8	3.28312736552e-06	2.08069592317e-13	0.229215171611	0.502207924291	1.0844140934e-13	0.146861501753
ZIC2	2	0.013401216882	0.000627276422233	0.49741685279	0.502207924291	1.51814122721e-05	0.181696258449
ZIC3	2	0.210111553836	0.197322925598	0.502993241763	0.502207924291	0.0811486143505	0.101238408008
DMAP1	2	2.85446110803e-05	3.20608927873e-12	0.379202851759	0.502207924291	1.26651193895e-10	0.245064607718
NFIL3	1	0.0285131786146	0.0417903427246	0.344653865436	0.502207924291	1.33579936799e-05	0.19504925323
NR1H2	1	0.145557420158	0.0417903427246	0.390516723651	0.502207924291	0.0160699828503	0.496086265835
PEBB	5	3.97889445264e-09	2.40903934137e-23	0.104779105548	0.502207924291	3.34941559101e-18	0.234877229984
PPARA	4	0.000488340429677	1.85572370446e-06	0.213641511665	0.502207924291	3.33147933065e-10	0.418691132577
ING1	2	2.47940044163e-08	2.59013126316e-19	0.144127954819	0.502207924291	1.09873484442e-18	0.454869601663
PHX2A	1	0.313903387496	0.317407642486	0.237384812379	0.502207924291	0.325165890313	0.247697235572
PSIP1	3	0.43116463578	0.327120554875	0.429827325116	0.502207924291	0.445790121752	0.47336899226
TFAP4	1	8.46096472308e-08	5.53929106482e-16	0.330014601521	0.502207924291	1.2351478496e-19	0.382392681813
PTF1A	8	0.203927647875	0.0661347199786	0.399125971362	0.502207924291	0.0585270971498	0.454569714111
RING2	44	0.00889186311348	0.00277099635409	0.1855168421	0.502207924291	1.64554992553e-06	0.130842827235
RING1	2	0.000712343693154	5.39396014255e-07	0.288113263834	0.502207924291	7.45115838565e-09	0.315405728086
PRDM4	4	0.173128712726	0.0735027627941	0.293096787991	0.502207924291	0.0312097047453	0.460635659985
PRDM5	1	0.315592390677	0.396612684209	0.338993283141	0.502207924291	0.168402513029	0.275323191192
CBP	14	6.80702140402e-06	2.0042746543e-14	0.330919188478	0.502207924291	9.74613875665e-12	0.45018419584
PRDM1	3	0.0406771430319	0.00116172171568	0.380251331552	0.502207924291	0.00106584780491	0.470977982978
TF2L1	1	0.0187051948128	0.00127475639602	0.406482406162	0.502207924291	3.83332207316e-05	0.229553201991
PRDM9	1	0.327454785063	0.13211896023	0.38409569822	0.502207924291	0.436657008925	0.338320347744
ASH2L	2	4.23320185163e-09	1.33333818182e-22	0.330014601521	0.502207924291	1.38557911168e-19	0.443972966664
SMAD4	2	0.14389309625	0.0042571833465	0.399125971362	0.502207924291	0.149231940551	0.484420036374
TLE1	1	0.0426420058087	0.0475508896067	0.40407325455	0.502207924291	0.000160208964681	0.0912008735079
SMAD1	8	0.0457709051912	6.08437340973e-05	0.204623863478	0.502207924291	0.0767331138977	0.418705806033
SMAD2	2	0.240112834022	0.404139768484	0.377845944605	0.502207924291	0.0700970921413	0.148472817956
SMAD3	11	7.45676842174e-05	7.44592332879e-09	0.170985616616	0.502207924291	7.82769730628e-12	0.460635659985
REL	5	0.0181737493853	0.000383146132688	0.447398085372	0.502207924291	0.000419398391902	0.0549102959911
UTF1	3	0.00152581168221	6.39069461859e-05	0.388825177875	0.502207924291	2.14147363863e-09	0.309461011158
NCOA3	1	0.451793193111	0.380783791427	0.43096583947	0.502207924291	0.467936004724	0.488098071999
NCOA1	1	0.0449895702543	0.000900142349323	0.17139366209	0.502207924291	0.00505090388587	0.470977982978
KANL3	4	5.91900976082e-07	4.819072542e-15	0.017181905558	0.502207924291	1.1148309011e-11	0.000156717657014
SMC3	12	0.000104934470642	1.75263526322e-05	0.447398085372	0.502207924291	5.3483348481e-14	0.0604091969433
SMC5	5	4.82524786182e-11	9.73260496991e-25	0.418732670356	0.502207924291	1.4768941289e-25	0.00865364881258
PO2F2	1	0.142972868307	0.00456342849566	0.421687009218	0.502207924291	0.143823748663	0.429806038648
ELL3	1	0.0060142301362	1.85572370446e-06	0.299420494035	0.502207924291	8.05760490305e-05	0.349957934823
ELL2	3	0.0205110446459	5.2274940461e-07	0.447970640097	0.502207924291	0.0718190617978	0.429806038648
MECP2	8	0.15398977481	0.417313045082	0.429827325116	0.502207924291	0.0220954650487	0.0435027518152
RXRA	33	8.35528251888e-08	8.73845143831e-17	0.136521920003	0.502207924291	1.58129449227e-18	0.429806038648
SPIB	2	2.79645708184e-09	1.75840163486e-24	0.499881826073	0.502207924291	2.31666571507e-18	0.167227783372
OLIG2	2	0.220204659885	0.0514485836953	0.470022176009	0.502207924291	0.0991938345004	0.429806038648
YAP1	1	0.447982985122	0.467762132018	0.446545603507	0.502746142691	0.39424722518	0.435812142238
MSGN1	1	0.334523932344	0.226560925016	0.422067849524	0.502207924291	0.193773721431	0.45018419584
CXXC1	1	1.36959478491e-05	2.48887407235e-11	0.288113263834	0.502207924291	7.91396886461e-13	0.169089404248
TBP	13	4.56603942607e-10	8.65232701185e-24	0.184659280735	0.502207924291	8.65797511987e-23	0.285689531219
UBP16	3	0.096139571339	0.00338942213145	0.123877765877	0.502207924291	0.196061896338	0.19866214566
DNJC2	1	0.433662648402	0.456194302311	0.313138753368	0.502207924291	0.497413238373	0.429806038648
MYF5	1	0.199854728033	0.249229967207	0.491106404763	0.502207924291	0.0239597682703	0.216486142517
MCRS1	2	2.09078180992e-05	1.0300054326e-09	0.204547495745	0.502207924291	2.05016408252e-12	0.0184177978155
ERG	7	2.32453179862e-12	5.30524068246e-34	0.0115705256697	0.502207924291	1.52114353333e-22	0.144732318603
FIZ1	1	0.0277455157302	0.0038158874054	0.385691490425	0.502207924291	4.54272178786e-05	0.489698416302
HAND1	1	0.415868463434	0.294301870914	0.429827325116	0.502207924291	0.401454019552	0.487723321595
HAND2	3	0.250996735934	0.365257043658	0.499881826073	0.502207924291	0.140517673957	0.0773143142667
MITF	1	0.0343490380415	0.000431284865487	0.499881826073	0.502207924291	0.00188783609822	0.233934072628
MYOG	8	2.3112157727e-05	7.38998091572e-11	0.104779105548	0.502207924291	5.48018170208e-12	0.309461011158
GFI1B	1	0.00913564915277	0.000653896102215	0.271498787785	0.502207924291	2.07829729584e-05	0.0343422847894
MYOD1	20	0.000334219315387	1.19351110075e-08	0.172710747329	0.502207924291	1.05346173892e-08	0.382392681813
UBF1	3	4.46394434341e-08	9.27641826835e-18	0.0651430299339	0.502207924291	3.34941559101e-18	0.174378517061
SPI1	113	2.65594766972e-15	1.61556511177e-33	0.499881826073	0.502207924291	3.41271800436e-38	0.00954820623396
DMRTB	1	0.00199371934443	1.14663384145e-06	0.182050087399	0.502207924291	6.9911463322e-07	0.429806038648
KLF5	4	5.26700193922e-06	9.28811121743e-12	0.117091523705	0.502207924291	2.0473360798e-14	0.362486490597
KLF4	16	7.0109443229e-08	5.03849015487e-17	0.213013225843	0.502207924291	1.14582897736e-18	0.274266172075
KLF3	3	0.000118273782399	3.40065905251e-11	0.347885512402	0.502207924291	1.06148596784e-08	0.366982348169
KLF2	1	0.0729971922692	0.00654347577128	0.346389150032	0.502207924291	0.00933534017101	0.19504925323
KLF1	3	1.3980870246e-08	4.0791912177e-24	0.104779105548	0.502207924291	1.66800261732e-14	0.149190780508
CNOT3	1	0.28934304911	0.195097584127	0.340863694297	0.502207924291	0.344043390576	0.176496399588
RYBP	4	0.00230594408012	0.000105094962982	0.347885512402	0.502207924291	9.3476233092e-09	0.379875117962
P53	10	0.00089296577248	1.83346471053e-07	0.273709069469	0.502207924291	6.21493989488e-08	0.362486490597
BMI1	3	0.194152682192	0.192235470774	0.379202851759	0.502207924291	0.182805290714	0.0412229939802
REST	12	0.0360074268812	0.00143607568011	0.326692491067	0.502207924291	0.000745901209274	0.344412642547
E4F1	2	0.204791711043	0.431219994641	0.45458331143	0.502207924291	0.106545901541	0.0343422847894
E2F4	16	1.30431072837e-09	5.26282963953e-15	0.201233430934	0.502207924291	1.63149444005e-28	0.0435027518152
E2F3	2	1.27610771262e-05	2.26809862483e-11	0.104779105548	0.502207924291	6.50604643021e-13	0.435812142238
E2F2	3	0.0025419538852	0.015411357228	0.401549927268	0.502207924291	1.67702274883e-09	0.020362700982
E2F1	5	4.87645410095e-12	4.64528678966e-27	0.253005715465	0.502207924291	1.76404096212e-27	0.00264841240769
MBD4	4	0.27536167826	0.322497394044	0.441996210295	0.502207924291	0.0481589513809	0.459210871468
MBD1	9	0.0402865171797	0.0807970217923	0.492913750025	0.502207924291	1.68220606776e-05	0.315405728086
MBD3	15	0.000382186262219	2.88248680545e-07	0.335167189487	0.502207924291	6.78487443004e-10	0.247697235572
MBD2	6	0.225161494931	0.400303416215	0.346389150032	0.502207924291	0.0515897536515	0.161090535602
AICDA	3	1.29400464859e-07	3.91953971296e-17	0.399125971362	0.502207924291	1.07442981386e-17	0.429806038648
STAT4	3	1.77016048798e-13	8.33716826563e-31	0.419916129554	0.502207924291	1.42106030399e-29	6.95642360567e-05
RARA	8	4.87226310578e-08	9.27641826835e-18	0.0659553230852	0.502207924291	5.34010816655e-18	0.167336188537
RARB	4	7.50881539901e-07	1.89253761178e-14	0.104779105548	0.502207924291	1.27317093512e-15	0.188264161662
RARG	6	0.0876578933696	0.00500773505958	0.104779105548	0.502207924291	0.110761036708	0.17732441782
HDAC6	2	0.280115764743	0.0634089905679	0.399125971362	0.502207924291	0.280105263363	0.484420036374
SIX1	3	0.00245391627086	0.000182424536971	0.495973555888	0.502207924291	3.56631402241e-08	0.0549102959911
SIX2	2	0.215339033595	0.0742657978366	0.499881826073	0.502207924291	0.0774351099969	0.320727440894
THB	5	0.000176731912117	4.7201090916e-08	0.330919188478	0.502207924291	5.37974022544e-11	0.408560172419
BMAL1	15	0.0260426602324	0.000618930762889	0.0643341306353	0.502207924291	0.00485217099206	0.12345922905
NKX32	2	0.0099550724498	0.000327821358335	0.137392853551	0.502207924291	9.76129585817e-06	0.442822519734
NKX31	4	0.0112538106127	1.70024432892e-05	0.137392853551	0.502207924291	0.000314202960025	0.489698416302
HXC9	3	0.147625510317	0.0347276453719	0.490241643141	0.502207924291	0.0171438355504	0.478332587361
RB	1	0.342115059501	0.486389151386	0.422067849524	0.502207924291	0.122438106851	0.37127408837
FEZF2	2	2.053300925e-05	8.89986704491e-10	0.117091523705	0.502207924291	5.06789638424e-13	0.137607704328
RELB	5	4.01597861363e-05	4.74568345051e-09	0.418732670356	0.502207924291	4.78675421596e-09	2.18673750849e-05
USF2	3	8.1316206332e-05	5.07030169346e-11	0.330014601521	0.502207924291	1.02988609271e-09	0.410814566214
WT1	4	2.17571054752e-05	3.02488538937e-10	0.0589723014482	0.502207924291	2.31718884266e-12	0.234857046404
RBPJL	2	0.0341552763301	0.00253416040707	0.257482095527	0.502207924291	0.00147043556974	0.0964668992887
DPY30	1	0.000617514110106	1.40152711964e-05	0.183531302037	0.502207924291	1.25950586323e-09	0.0551872840993
LDB1	4	1.2803653567e-05	2.6138561252e-12	0.403322738631	0.502207924291	3.6822712389e-12	0.176496399588
SUV91	1	0.180234322756	0.484435488553	0.137392853551	0.502207924291	0.0735942579921	0.0773143142667
SUV92	1	0.435054662587	0.428285746846	0.439052848196	0.502207924291	0.340692880276	0.484420036374
SNAI1	1	0.426061417074	0.495376698093	0.357922510736	0.502207924291	0.333083471772	0.47336899226
RFX6	1	0.260895425159	0.074392172014	0.462704941912	0.502207924291	0.154164473027	0.453558257338
RFX1	1	0.000119018241887	3.78823029267e-08	0.137392853551	0.502207924291	2.04443104061e-11	0.446900777028
FOXP3	8	1.08642119124e-15	2.64589187074e-44	0.117091523705	0.502207924291	1.77299555245e-27	0.000548658843985
EZH1	8	0.11638373496	0.352259381609	0.45458331143	0.502207924291	0.0183347116786	0.0144819735347
MSL1	2	0.0351603497566	0.00017602892579	0.151408485924	0.502207924291	0.00828754726838	0.484420036374
MSL2	4	1.01571441521e-05	7.50296530824e-13	0.00105955380987	0.502207924291	9.55246605134e-10	0.283467360998
TWST1	3	0.279472638383	0.0841519519339	0.377845944605	0.502207924291	0.226216620183	0.471964621089
MED1	37	3.24584044342e-12	2.52742619591e-32	0.104779105548	0.502207924291	5.53533283885e-25	0.489390310026
PRGC1	1	0.184265829148	0.0276971670275	0.40407325455	0.502207924291	0.0774351099969	0.488098071999
ZFP384	3	4.59943948725e-06	1.05521052579e-12	0.43171394134	0.502207924291	6.00288345828e-14	0.149880759724
RUNX2	7	1.73144910509e-07	2.57864926953e-16	0.137392853551	0.502207924291	4.52206076546e-17	0.193407039078
DNM3B	9	0.134177482245	0.0518103485579	0.332717970619	0.502207924291	0.011527165596	0.435812142238
MKL1	1	0.421998897382	0.456194302311	0.503176823117	0.502207924291	0.266380977539	0.435812142238
MKL2	2	0.463465134447	0.467762132018	0.492913750025	0.502207924291	0.451273776165	0.409228330003
RUNX1	21	3.06949824767e-14	3.44818080241e-37	0.163700436673	0.502207924291	1.05393668698e-29	0.0912008735079
CBX1	2	0.404088401029	0.454760422406	0.478075116266	0.502207924291	0.366832438114	0.26899972071
SP16H	1	0.360459049975	0.150963881039	0.475202950817	0.502207924291	0.456578960427	0.369937222531
TCF7	5	3.28350780392e-13	1.30915404724e-35	0.0643341306353	0.502207924291	2.35974427684e-26	0.382392681813
NDF1	1	3.54275700465e-05	8.11895743402e-09	0.288113263834	0.502207924291	2.04002498487e-13	0.232875747854
NDF2	2	0.0150168782893	0.000113951300237	0.449682426879	0.502207924291	6.59172828813e-05	0.45018419584
GCR	33	1.37504076907e-07	8.90350637349e-13	0.340863694297	0.502207924291	2.52283337741e-19	0.0012783916484
NR6A1	2	0.00244782134976	2.9638305703e-06	0.478075116266	0.502207924291	2.58187700185e-07	0.478332587361
IRF3	2	3.18368962434e-10	1.32953173617e-27	0.204547495745	0.502207924291	1.48664456821e-19	0.161090535602
IRF2	4	0.0637349885671	0.012720911838	0.124542622385	0.502207924291	0.0399401678097	0.0330948080132
IRF1	7	1.00865600873e-16	2.11845549257e-32	0.104779105548	0.502207924291	1.37360029066e-36	6.8183208511e-12
IRF4	52	3.22215517512e-18	4.55047450348e-43	0.330919188478	0.502207924291	3.85454292835e-42	0.00119150858141
TIF1B	9	0.00032114122863	2.20097602592e-06	0.330014601521	0.502207924291	2.05726136299e-11	0.455154482596
IRF8	10	6.95525889827e-09	1.01640894807e-09	0.00499151590901	0.502207924291	4.05635455861e-18	1.5748750158e-12
PO5F1	52	6.36161885409e-07	3.39332575045e-13	0.137392853551	0.502207924291	1.10677855287e-17	0.402072374984
MEF2A	2	0.243098662049	0.256526884204	0.299371123604	0.502207924291	0.086273327964	0.255158439389
CREM	1	1.75049967966e-05	3.25630557027e-13	0.117091523705	0.502207924291	2.77376757587e-10	0.309461011158
MEF2D	11	0.000533795440748	1.00905395276e-07	0.137392853551	0.502207924291	3.21839934652e-08	0.193407039078
TF65	38	4.73144603969e-15	7.4978368508e-33	0.45458331143	0.502207924291	2.44504961292e-37	0.00566563700947
HDAC1	5	0.0103575408381	0.000827830415083	0.494597024082	0.502207924291	1.76960503665e-06	0.327589887726
HDAC3	10	1.19357656025e-06	3.88249997333e-13	0.493932666433	0.502207924291	4.00409649051e-16	0.0628179993508
HDAC2	2	0.0900329411056	0.232741947432	0.416722127171	0.502207924291	0.000783821507423	0.154947732458
CLOCK	9	0.0620872991378	0.000964732444728	0.330014601521	0.502207924291	0.0392900221708	0.146861501753
RCOR3	1	0.395981617985	0.404139768484	0.307113680921	0.502207924291	0.318956984662	0.489698416302
RCOR2	1	0.241023305792	0.431219994641	0.379202851759	0.502207924291	0.0365048746029	0.271325297132
RCOR1	4	7.28490779871e-07	5.62783117815e-14	0.492913750025	0.502207924291	1.55211861967e-15	0.0094885496239
CBX8	3	0.000379611600266	6.26625106453e-09	0.183418032099	0.502207924291	3.27278778326e-08	0.417297851535
CBX7	4	0.204169136326	0.0375968827408	0.330014601521	0.502207924291	0.225223519078	0.252794815873
CBX5	3	0.244183073292	0.467762132018	0.323664686884	0.502207924291	0.0628387956576	0.181696258449
CBX3	4	5.205699478e-06	1.44936246485e-12	0.182050087399	0.502207924291	1.03461306619e-13	0.278847042738
SMBT1	2	1.26052827036e-05	3.2177649753e-13	0.0125995725952	0.502207924291	1.71383993636e-09	0.0912008735079
COE1	9	1.94564319887e-08	2.2440806325e-20	0.340863694297	0.502207924291	2.44166672233e-18	0.297253414459
SMCA5	2	6.91998926725e-05	6.2282546624e-10	0.446545603507	0.502207924291	2.82557688017e-11	0.402072374984
SMCA4	22	6.27987119135e-11	9.73260496991e-25	0.194580773695	0.502207924291	1.51493887102e-24	0.00677869333021
PO3F1	1	0.02378398285	0.000164081020032	0.0582579822774	0.502207924291	0.00380898584876	0.416213544124
PO3F2	3	0.211395747513	0.110644789784	0.332717970619	0.502207924291	0.0723970499095	0.315405728086
MYT1L	1	0.329603580161	0.151583696858	0.437317001711	0.502207924291	0.310045108317	0.376879313864
TBX19	1	0.00198249257502	1.56380890306e-07	0.393511508671	0.502207924291	2.04555456388e-06	0.484420036374
PRGR	5	6.39081470276e-07	2.7298473706e-14	0.124542622385	0.502207924291	1.29527280226e-16	0.48203652724
TET1	14	0.00129007784728	0.000113974170169	0.276828959065	0.502207924291	8.42444727772e-10	0.267692776634
ASCL1	7	0.0964314223879	0.0236963945621	0.330919188478	0.502207924291	0.00584135033583	0.362486490597
MTOR	1	0.0247701644132	0.00116172171568	0.147145695556	0.502207924291	0.000462495616082	0.234857046404
HIF1A	6	1.06289737256e-11	7.88240411921e-34	0.114681276961	0.502207924291	8.04872796449e-21	0.37127408837
EP300	83	1.19590112293e-17	1.21829264113e-42	0.175054072783	0.502207924291	3.7750437369e-41	0.0604988304763
TAF7L	3	3.69681493443e-07	1.38689796395e-15	0.0582579822774	0.502207924291	2.2008737512e-15	0.0773143142667
RAD51	3	0.286055630698	0.30430844315	0.273842819547	0.502207924291	0.184770410346	0.247697235572
CDK8	1	6.51329799512e-05	3.24240500848e-08	0.237384812379	0.502207924291	9.28390565303e-13	0.326640680032
CDK9	4	5.06500349221e-06	4.14636537655e-13	0.192175547124	0.502207924291	2.69180471035e-13	0.309461011158
NRF1	2	0.00122202831548	2.29105558714e-08	0.408216605617	0.502207924291	1.38580692498e-06	0.418691132577
PHF19	4	0.0583508227385	0.0144017477381	0.379202851759	0.502207924291	0.182805290714	0.00134919835605
NFYC	1	0.0200104889992	0.00365766120006	0.456909768562	0.502207924291	1.03804097793e-05	0.368261680394
NFYB	1	0.0183936197587	0.000709652001661	0.330014601521	0.502207924291	4.27543304435e-05	0.418691132577
NFYA	7	0.000678518775917	5.98707276186e-07	0.354359081536	0.502207924291	2.75811467411e-09	0.489390310026
EZH2	44	0.0335857640005	0.000804829988238	0.275147558185	0.502207924291	0.300579156223	0.0012783916484
PITX2	1	0.00124950779897	4.30209597505e-08	0.137392853551	0.502207924291	2.38723153856e-06	0.429806038648
NR1D1	4	4.78842334692e-05	2.34941379249e-11	0.137392853551	0.502207924291	3.44957216491e-10	0.45018419584
NR1D2	2	6.63105016034e-08	4.74283553933e-17	0.421687009218	0.502207924291	1.39958963978e-18	0.0912008735079
PITX1	2	0.0231776815839	0.00455870678085	0.146686279661	0.502207924291	6.09064389214e-05	0.327018286908
SOX6	2	0.380329110931	0.459195237638	0.407012884572	0.502207924291	0.466619369667	0.181696258449
SOX4	1	4.5463609569e-08	1.27990577578e-21	0.0582579822774	0.502207924291	1.22867530125e-14	0.422148684109
CEBPB	56	1.779358146e-10	5.12531743954e-21	0.499881826073	0.502207924291	2.12471593371e-27	0.0652445593133
CEBPA	36	1.45613909727e-10	4.87045977892e-22	0.480256894559	0.502207924291	3.2958754344e-27	0.169089404248
CEBPD	9	0.00131523946506	8.88322364059e-07	0.293096787991	0.502207924291	7.7161210545e-07	0.0390085592767
KDM4C	5	0.000111828551188	4.40276187213e-07	0.104779105548	0.502207924291	1.22953686122e-11	0.0613957761253
KDM4B	1	0.000179693958751	6.19689755719e-09	0.332717970619	0.502207924291	4.8416720146e-10	0.373712720127
MED12	4	0.00351383207025	1.41340671725e-06	0.170145029835	0.502207924291	2.48274767552e-05	0.178649764468
ETS1	7	6.27311391748e-19	1.25134305713e-51	0.137392853551	0.502207924291	7.67130021185e-38	0.0146663754741
SUZ12	60	0.0337667520839	0.0422583377401	0.216926012452	0.502207924291	0.010837698941	0.000879836064156
PPARG	24	5.20351300464e-07	7.88116173628e-16	0.179209344604	0.502207924291	3.04728390716e-15	0.176496399588
SCML2	2	0.338135204842	0.233099724618	0.304976836367	0.502207924291	0.440007407516	0.281384248969
COT2	1	0.291318605828	0.119807922054	0.401549927268	0.502207924291	0.343529709633	0.252794815873
PBX1	2	0.0174571508427	0.00022521711002	0.44147704024	0.502207924291	6.63048136118e-05	0.489698416302
SOX11	3	0.356191095735	0.234922334294	0.377869526988	0.502207924291	0.375642059576	0.342366561395
FOXL2	1	0.0787441819679	0.0160570260229	0.478075116266	0.502207924291	0.00253770787031	0.309461011158
TGIF1	4	5.19445645244e-10	3.48258490151e-24	0.402884969178	0.502207924291	2.16677117759e-22	0.247697235572
HSF1	5	0.00142890999518	0.000140469499147	0.234098311339	0.502207924291	1.79303172111e-06	0.000201174310601
ZFX	1	2.33284662343e-05	6.58184505779e-14	0.137392853551	0.502207924291	1.03592331565e-08	0.146861501753
TBX21	4	9.5559820209e-13	1.33608713082e-30	0.104779105548	0.502207924291	3.963800623e-25	2.85937943609e-05
TBX20	1	0.213754937785	0.023153197365	0.20031319614	0.502207924291	0.436657008925	0.438769315147
OGT1	2	1.59639741585e-07	1.0293100816e-18	0.216926012452	0.502207924291	5.05826871276e-15	0.182793926985
PKNX2	1	0.0717748836386	0.00117145761008	0.45458331143	0.502207924291	0.0392006144227	0.181696258449
PKNX1	1	0.000981929659434	2.37708162146e-08	0.389809260898	0.502207924291	4.87885428847e-07	0.402072374984
RORG	9	1.61804128299e-10	4.00096698907e-29	0.329174545687	0.502207924291	8.8226103219e-20	0.190053607964
RORA	1	0.00112685392737	2.04110208731e-06	0.464339708378	0.502207924291	1.5100309108e-08	0.252794815873
BRDT	2	0.155021271973	0.119098446965	0.463232599667	0.502207924291	0.00649715994167	0.497329416075
BRCA1	5	1.19613480526e-09	6.13568243852e-20	0.437317001711	0.502207924291	3.17411924898e-24	0.057244610248
ETS2	5	7.44978342319e-07	1.42639636802e-13	0.104779105548	0.502207924291	1.27505818495e-14	0.00239767194083
CREB1	13	8.18681302498e-08	3.87597888388e-20	0.194580773695	0.502207924291	1.70397475551e-14	0.0569831316675
NFAC1	2	0.259485293728	0.0622842005608	0.354359081536	0.502207924291	0.216735486113	0.489698416302
PER2	1	0.0359055740134	0.00172487464257	0.221843420185	0.502207924291	0.00104470787272	0.297253414459
PER1	1	0.0981109876632	0.0172520647993	0.123181676777	0.502207924291	0.0366317936189	0.23251945769
NFAC2	1	0.00429097161186	0.000140469499147	0.389170352084	0.502207924291	1.21802481069e-06	0.0435027518152
BRD4	6	2.50247352419e-12	1.61556511177e-33	0.137375770424	0.502207924291	3.15299371529e-24	0.279258360371
ZC11A	3	0.0332334692895	0.497245585959	0.344653865436	0.502207924291	3.09218523264e-05	0.0152326424512
THA	1	0.175036547865	0.166935915554	0.45458331143	0.502207924291	0.00894369366822	0.48203652724
KAT8	10	7.242574341e-07	5.4026610026e-14	0.0659553230852	0.502207924291	3.00437879357e-12	3.70654254438e-05
KAT5	3	0.000573511954394	5.80907451618e-10	0.273842819547	0.502207924291	1.64554992553e-06	0.471964621089
RBBP5	5	1.15801310735e-07	3.1241914895e-16	0.000924943291579	0.502207924291	5.00432050923e-16	0.28673845816
FOXA1	10	4.23337844846e-05	4.31048557807e-09	0.0582579822774	0.502207924291	5.5743983426e-12	0.193407039078
RUNX3	6	1.61061012627e-16	1.94322872949e-42	0.0643341306353	0.502207924291	5.09698424229e-35	0.0338680283841
DNM3A	6	0.183741942036	0.497245585959	0.242255737947	0.502207924291	0.400049447493	0.00865364881258
FOXA2	12	2.64466489176e-05	1.00633572651e-07	0.183634493167	0.502207924291	4.66715449351e-15	0.298689777669
PRD14	1	0.0160437365593	0.000555966019789	0.311439645688	0.502207924291	6.78948465131e-05	0.180046670095
PRD16	4	0.175565429749	0.148797741583	0.496633762901	0.502207924291	0.0145235551231	0.309461011158
NKX25	2	0.0228507208542	0.000833991846877	0.270362926872	0.502207924291	0.00030280360072	0.181696258449
