GeneName	baseMean	log2FoldChange	lfcSE	pvalue	padj	gene_cat
6693	Oasl2	869.258544784477	1.31406739809691	0.252146705907589	8.06531160791239e-09	5.33833927977692	HH
6746	Hmmr	122.314420723105	3.44894625281754	1.00168103453768	1.56771817483543e-06	3.28377564384998	HH
6751	Ankle1	24.2675978424866	7.0552430590897	3.26914747426097	0.000163538032897734	1.66336487617031	HH
7253	Usp18	3239.10076499156	0.68863253799629	0.138900442074436	3.36493660308096e-08	4.77597549168496	HH
7496	Serpina3g	4421.57015990926	0.594985283022841	0.142428291014447	1.28101804084651e-06	3.34666480730102	HH
7507	Stmn1	555.497772358076	1.06113332278548	0.32597557304274	4.06406400064015e-05	2.12669395437631	HH
7846	Gbp10	603.514037510187	1.46357180244197	0.330581711553198	3.14665060055966e-07	3.93004259245515	HH
8273	Ifi27l2a	1742.98244941648	1.1969217558128	0.195273236217731	3.55188996849546e-11	7.59543241290493	HH
9150	Shcbp1	95.4041774960229	2.6502106236963	0.845503703555149	4.18618501806237e-05	2.12046665277988	HH
10111	Ddx60	2647.98645290299	0.937429876935454	0.15250758021388	3.67523821992427e-11	7.59543241290493	HH
10590	Ktn1	1858.16889942859	0.501815190155185	0.196191800211711	0.000387531809653349	1.35146711924111	HH
10818	Fn1	77.2974930763301	5.72709137729727	1.56881960618848	2.38551423703942e-06	3.16962419806796	HH
10922	Mpeg1	39.8872208426513	4.98055637440214	2.13119128493197	0.000115238108418183	1.77495886777284	HH
10931	Ccna2	185.563601313801	1.63650705977673	0.579122181420228	0.000142810893581679	1.69331813170235	HH
11079	Fgl2	2755.56272423318	0.795055808820855	0.199147585132673	2.23845714438978e-06	3.18557620886314	HH
11522	Cdh1	849.74994684427	0.936447587151411	0.269298149482668	1.88380479678319e-05	2.41855724953059	HH
11536	Thsd4	101.042197099463	2.51995412984044	0.978044012279108	0.000158998449008265	1.66336487617031	HH
11945	Cep55	123.483233524051	2.58712189933087	0.798061359208165	1.86676128281727e-05	2.41855724953059	HH
12092	Csf2rb	21.4792497092977	6.83634600237996	3.28432831869946	0.000249073730508682	1.49954106444464	HH
12617	Kif18b	104.785597129982	2.27947849383881	0.770884418153913	9.36797275588955e-05	1.83190910954489	HH
12803	Ifi27	2918.99421114437	0.529938293962187	0.167120176763889	6.11799271429328e-05	1.96220698354524	HH
13094	Slc1a4	22.5921166095991	6.91738200440259	3.27350202238685	0.000209483630345509	1.56537887204661	HH
13305	Top2a	1335.4056580759	1.42128742647138	0.228427069315302	1.82907558176476e-11	7.80663752005444	HH
13556	Anln	70.073637878418	2.91385546016487	1.48573724897189	0.000238768124161736	1.5132477373814	HH
13750	Adgrg5	2308.85454291082	0.530019309133116	0.185346694184053	0.00016101384031648	1.66336487617031	HH
13811	Ifit3	3896.55305131616	0.951256798119916	0.140424081718389	5.50008512139742e-13	9.13661423489447	HH
13885	Xaf1	1234.44464912767	0.709138552667201	0.237634905596614	0.000100573088514366	1.80675007433071	HH
14023	Lilrb4a	1558.56496493641	1.39963245380348	0.230511034362584	3.82455779794427e-11	7.59543241290493	HH
14285	Dtl	233.082241635946	1.77407576980397	0.505791329509157	1.52562270308037e-05	2.48748202040878	HH
14290	Gzma	9400.67026175466	0.627927619119454	0.0929146306931599	7.29029571718369e-13	9.05999599128999	HH
14894	Stat1	17494.3617735423	0.681935207344199	0.0789247299813993	2.95806894725686e-19	14.4517328439064	HH
15111	Mki67	836.249620021031	1.92797776064417	0.275527003037233	8.70351479819273e-14	9.82814450425454	HH
15353	Igtp	6351.58916608052	0.750957530803068	0.106166245235457	7.62659583938264e-14	9.82814450425454	HH
15363	Irf7	4230.77234392766	0.613405014699958	0.132780915163101	1.77304419170548e-07	4.12117960747156	HH
15478	Kif4	112.901986061587	3.16917701117675	1.28446877145306	1.63946041516615e-05	2.46391505690429	HH
15868	Rrm2	1034.38797468329	1.73813132371223	0.226978096246006	8.96777678526922e-16	11.4471776012226	HH
16056	Cenpf	116.793281781806	3.16134714822782	1.09266835664991	9.62091843630972e-06	2.67191836330405	HH
16329	Gzmb	6490.41639763894	0.970096651834692	0.148174849444151	1.99985439223253e-12	8.70092400616669	HH
