GeneName	GeneID	log2FC	pval	FDR	GO:0051707 response to other organism	GO:0098542 defense response to other organism	GO:0009615 response to virus	GO:0051607 defense response to virus	GO:0051704 multi-organism process	GO:0006952 defense response	GO:0035456 response to interferon-beta	GO:0043207 response to external biotic stimulus	GO:0009607 response to biotic stimulus	GO:0002252 immune effector process	GO:0035458 cellular response to interferon-beta	GO:0000281 mitotic cytokinesis	GO:0000910 cytokinesis	GO:0061640 cytoskeleton-dependent cytokinesis	GO:0045087 innate immune response	GO:1903047 mitotic cell cycle process	GO:0009605 response to external stimulus	GO:0006955 immune response	GO:0007059 chromosome segregation	GO:0045088 regulation of innate immune response	GO:0022402 cell cycle process	GO:0000278 mitotic cell cycle	GO:0035455 response to interferon-alpha	GO:0034097 response to cytokine	GO:0034341 response to interferon-gamma	GO:0022414 reproductive process
Mllt6	246198	-0.0311973708051669	0.153616418207687	0.933034036552893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp719	210105	-0.0209567245345457	0.309075703427606	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mllt1	64144	-0.013009127415388	0.629841687487944	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mllt3	70122	0.0046730118724034	0.868476637580326	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btg4	56057	0.000441909688848113	0.526774365232201	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btg3	12228	0.000200343975673075	0.949781827144995	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btg2	12227	-0.050295934983796	0.206638111370046	0.976460727410061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Btg1	12226	-0.177090318746196	0.00192339679141963	0.123542050898335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Nupl1	71844	-0.0477718179900405	0.0688734303970759	0.746670483624198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nupl2	231042	-0.00258753425448334	0.858701503937478	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npat	244879	-0.0433357576336913	0.14233418639196	0.916944457515982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Ttc30a1	78802	0.00259010020855628	0.705999473470354	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gga1	106039	0.0285839792471301	0.315854101469062	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gga3	260302	0.0189557841120638	0.503823931007366	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sorbs1	20411	-0.0243112205118616	0.361373925981486	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sorbs3	20410	0.00113370667873128	0.858486192668889	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sorbs2	234214	-0.000515636404413215	0.411638541917039	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tshz2	228911	-0.000352142823193336	0.769144619971636	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tshz3	243931	-0.0015375870846457	0.408119683209042	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tshz1	110796	-0.000892911217241922	0.969853991704227	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef28	110596	-0.000380429865776114	0.768171993426705	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef25	52666	0.000374783626629188	0.578577625992972	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef26	622434	0.000496393525704157	0.809127400585184	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Efnb1	13641	-0.00372511243756305	0.452017277087092	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lmna	16905	0.0171425238090619	0.334909238753899	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Fndc3c1	333564	0.000344134639790627	0.821923958996323	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcemp1	69189	0.000634234368666233	0.340303878180336	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sorcs1	58178	-0.000398724597043224	0.631329514624404	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Supt16	114741	-0.00632052658469352	0.793882144255684	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trim34a	94094	0.29781038268496	0.00228728243665985	0.141300572156263	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Trim34b	434218	-3.70311241140266e-05	0.988596479799485	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prepl	213760	-0.00983567103294413	0.590704497000034	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdhr1	170677	0.00355949867312532	0.184216165216876	0.953043903758868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdhr2	268663	0.000344134639790627	0.821923958996323	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm36633	102640608	0.00037111824656165	0.732235940343269	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcof1	21453	-0.0644896190959995	0.131437851686391	0.906087400609909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3279	100041339	0.000308420265737918	0.822931636861443	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AI662270	100043636	0.030694087097965	0.271736878343356	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10640	100038516	0.00424796448626581	0.175080685832952	0.946425257410498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zik1	22775	0.00194845595530269	0.798568476669007	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp8	84092	0.0368854659894066	0.298549849337344	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0
Usp1	230484	-0.00271383698619675	0.931679617808127	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp2	53376	0.00422902001939416	0.535796128525312	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Usp3	235441	-0.224141961342172	0.00604521425169209	0.256726938329271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Usp4	22258	-0.088373024652147	0.0676757340050134	0.739240681865263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp5	22225	0.0023422277259171	0.942386788904711	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp7	252870	-0.0829982001725837	0.0739393880873628	0.755335402837921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl38	67671	0.0207635206615929	0.496299407540275	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl39	67248	0.0251229007039548	0.439366138149096	0.999958094925527	1	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
Rpl36	54217	0.0458529523741694	0.233162710844438	0.985547457270027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl37	67281	0.0373364259787209	0.319758688859298	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl34	68436	0.00496916431543505	0.485834177678724	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl35	66489	0.0134551740004043	0.712699557417654	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl32	19951	0.0511113043497212	0.213882352743042	0.979858774993258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl30	19946	6.58216407607166e-05	0.991014044071623	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl31	114641	0.00892487291433734	0.574709822267565	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd302	66205	-0.00363055183856359	0.652859072795412	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam13b	225358	-0.330990497161356	0.00188402248464273	0.122544953933818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam13a	58909	0.000311020470432804	0.733642554690372	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcas2	68183	0.0210125637547806	0.495625723342939	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcas3	192197	0.0142278808388795	0.567976678144166	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bcas1	76960	-0.000108787786296531	0.922173649180573	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm8369	666926	0.0762904230460044	0.0141946288377405	0.388647293152533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mlycd	56690	-0.0237154749074841	0.343115706855929	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttbk2	140810	0.00731606649928899	0.511148527246718	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10046	100043229	0.000364611187222753	0.61897598281943	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttbk1	106763	-0.000413290562564747	0.680088107695989	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ncor2	20602	2.74631368946898e-05	0.996121706231924	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ncor1	20185	-0.0158761763459328	0.668656624485916	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pebp1	23980	0.00777353449325835	0.784787027216251	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Magohb	66441	0.00579187707238884	0.655384712760024	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nkiras1	69721	0.00132279002505634	0.915553780364979	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppme1	72590	-0.0272400727214211	0.232395451792209	0.985547457270027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19276	100502601	0.000453835545810993	0.498078134968578	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19277	100502602	-0.000385144364989543	0.681449811079217	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cep162	382090	0.013381070873894	0.477104368751933	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrriq1	74978	-0.000422381614992106	0.52877317417671	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrriq3	74435	-0.00130571663212834	0.57696730857906	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r84	625068	-0.00738193421584578	0.505027707755596	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r85	623734	0.000399680589019553	0.663703356014974	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r86	625109	-0.000380429865776114	0.768171993426705	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r87	625131	0.000528128567154149	0.565193987916623	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r81	216144	0.000382122324582041	0.518486181106518	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r82	624845	-2.46437195009509e-06	0.970865141972015	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r83	625029	0.000344134639790627	0.821923958996323	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tinf2	28113	-0.00760458223652646	0.70797572653033	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r89	22301	0.000344134639790627	0.821923958996323	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Egf	13645	0.00791595535399979	0.196158254516322	0.965994504001028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc4a11	269356	0.000374783626629188	0.578577625992972	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc4a10	94229	-0.00929136093297304	0.29816734471826	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptprz1	19283	0.00116592869005415	0.25729633057963	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pold1	18971	0.0218632222050582	0.455150658700339	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pold2	18972	0.0139102554097183	0.550913290332449	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pold3	67967	-0.0202432420781299	0.376701210609945	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pold4	69745	0.00829209054630473	0.397561397325228	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hdac1	433759	-0.0251607110042947	0.448115074899182	0.999958094925527	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hdac3	15183	0.0496596321085386	0.159388348666693	0.937294843293871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Hdac2	15182	-0.0148213764877474	0.616229359797751	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hdac5	15184	-0.0326549619432537	0.181268356955974	0.951189325520959	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Hdac4	208727	-0.00115527146422173	0.96247995920822	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Hdac6	15185	-0.0190403799663002	0.21286099072182	0.979858774993258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hdac9	79221	0.00206857832082338	0.0475035319531052	NA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hdac8	70315	0.0147050099387469	0.290463564138582	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Gmpr	66355	-0.000669311933727604	0.648836905112386	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gmps	229363	-0.00909399258955465	0.784426817397375	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032F04Rik	68725	-0.00542517059327268	0.15117908105679	0.928604874748314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930557J02Rik	75357	-0.000409508957483412	0.755526154879344	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pvr	52118	0.0089314312695472	0.582580602639518	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
4732471J01Rik	654804	-0.00337405819188357	0.195839839380833	0.965751649385966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lix1l	280411	-2.58532014130043e-05	0.978854484621678	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ikzf5	67143	-0.00488248236965336	0.848473229076355	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ikzf4	22781	0.0138121367603935	0.0147163107864782	0.395624977856343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ikzf1	22778	-0.00769857835609826	0.832482500111809	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ikzf3	22780	-0.00176199559598685	0.960364136061794	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ikzf2	22779	0.00339392821849701	0.585204236705121	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mbtd1	103537	-0.0217506649616463	0.370132340226125	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fgf18	14172	-0.000427534012020324	0.629820507707377	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fgf13	14168	-0.0333292611108129	0.360401611982183	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fgf10	14165	0.000375822081304742	0.644690671048523	NA	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1
Fgf16	80903	0.000344134639790627	0.821923958996323	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snrpd1	20641	0.0239464788647485	0.279114513195456	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prss41	71003	-6.70620213989396e-05	0.890070563344729	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phc1	13619	-0.002648484062748	0.841201683057361	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phc3	241915	-0.00345473270236777	0.898647057473942	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phc2	54383	-0.0170287411979606	0.585809013735989	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Sh2d4b	328381	-0.000262300686945858	0.908654370819675	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Golt1b	66964	-0.020652056801872	0.430011888280791	0.999958094925527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chmp3	66700	-0.0389021570019786	0.196100862757315	0.965994504001028	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
