TF	Number_of_ChIPexp	p_value_mean	baseMean	log2FoldChange	lfcSE	pvalue	padj
TF2L1	1	0.0123699487472	0.000839542207951	0.300832793988	0.481728193326	2.29661586762e-05	0.103652877551
PRDM9	1	0.247518673986	0.111457184511	0.257191833169	0.358169207121	0.420161497777	0.21536251211
ASH2L	2	1.547380783e-09	1.58590885062e-23	0.176268598167	0.44095201479	1.92271991268e-20	0.374304860158
SMAD4	2	0.119183187791	0.00292564141874	0.284838798946	0.49557081516	0.128523543514	0.453071069738
TLE1	1	0.0234145504319	0.0367629124492	0.29815978034	0.274420344338	0.000101277473267	0.0231015428489
SMAD1	8	0.0270524683757	3.49784462542e-05	0.0635505831507	0.331624980029	0.0625357976699	0.314295747689
SMAD2	2	0.154787170476	0.378678507571	0.246204313799	0.355913067927	0.0565099905809	0.0473848295735
SMAD3	11	2.92463152519e-05	3.14893673817e-09	0.040298372198	0.14907475807	2.75865984362e-12	0.410017203578
REL	5	0.0103317585585	0.000237989448057	0.375213123187	0.477793311053	0.000271592791232	0.0101596142362
UTF1	3	0.000949213434772	3.68802200456e-05	0.263784481907	0.454733247932	9.66964968987e-10	0.180139596542
NCOA3	1	0.400798974216	0.351428212793	0.342684290856	0.398614042394	0.46175182845	0.46659595429
NCOA1	1	0.0242903789739	0.000580928873022	0.0407720605853	0.238075194418	0.0035378577879	0.423868664083
KANL3	4	5.21822783336e-08	1.17823139243e-15	0.000302764855648	0.0560722870952	4.00258671539e-12	4.83270307972e-06
SMC3	12	3.92473504277e-05	9.68967953897e-06	0.374313246785	0.140486908414	1.54324199362e-14	0.0118423315594
SMC5	5	9.40144579938e-12	8.63346089178e-26	0.316592289888	0.314086348041	1.00845193824e-26	0.000848366885007
PO2F2	1	0.112411567399	0.00315620384942	0.323875428292	0.421147672911	0.123549035195	0.337472359441
ELL3	1	0.00328712026424	9.56474332254e-07	0.138498466404	0.256554731097	4.98719598625e-05	0.226424397525
ELL2	3	0.0153976396022	2.57920411085e-07	0.377913557615	0.447895815797	0.0580563781493	0.341480275017
MECP2	8	0.0795368547547	0.393414060121	0.339583782687	0.184972897585	0.0166446014244	0.00773862401501
RXRA	33	2.13395119722e-08	1.71304444495e-17	0.0192453807933	0.158671122004	2.54261008668e-19	0.332697561251
SPIB	2	8.6959747477e-10	1.62671516881e-25	0.48634651553	0.28018927165	3.92914669737e-19	0.057093185953
OLIG2	2	0.171066442345	0.0401162965378	0.415592707733	0.310634534373	0.0830256764541	0.340700842162
YAP1	1	0.406054997614	0.45642868829	0.370809895423	0.498316661257	0.372537576216	0.35133754198
MSGN1	1	0.287281697959	0.197117985421	0.328171697978	0.456773121706	0.171152560118	0.386926503414
CXXC1	1	6.0084632685e-06	8.49725729548e-12	0.124698937907	0.481279877953	2.57988412327e-13	0.0595220150214
TBP	13	1.12485780937e-10	8.95725483606e-25	0.0512490514815	0.30532377264	8.20028480516e-24	0.156688751704
UBP16	3	0.042917704784	0.00230689744189	0.0163715109088	0.256317071696	0.173605467683	0.0866412000896
DNJC2	1	0.305371633427	0.439936668812	0.151062545184	0.247531791658	0.493030742881	0.327409679825
MYF5	1	0.147557297128	0.219585874191	0.451082314507	0.40386148392	0.0181545380726	0.0963220281683
MCRS1	2	6.79509313745e-06	4.01565994646e-10	0.0630763202737	0.365151475324	6.77366987618e-13	0.00231236668609
ERG	7	1.58646596789e-13	1.86968834624e-35	0.000152914436164	0.0562775773256	1.47423602349e-23	0.0423675821278
FIZ1	1	0.0206968826333	0.00261396692308	0.259959462709	0.424837272397	2.74164266492e-05	0.479827908331
HAND1	1	0.328799257322	0.263834496612	0.339885483958	0.243414581023	0.381116040588	0.461940590938
HAND2	3	0.176109331466	0.335489399131	0.487048991898	0.491562650239	0.119780484188	0.017607408911
MITF	1	0.0215066976944	0.000268840565931	0.483857173602	0.253203480275	0.00128489285099	0.10872266371
MYOG	8	7.64371230733e-06	2.66950852462e-11	0.0117703400506	0.24334383942	1.88305802979e-12	0.181224655222
GFI1B	1	0.00419585076967	0.000413366038184	0.110632765948	0.426659286575	1.22225854182e-05	0.00545302289717
MYOD1	20	0.000153861737406	5.10002540848e-09	0.0418462163132	0.294994486397	5.08167667013e-09	0.269527881454
UBF1	3	9.82355432131e-09	1.65504378797e-18	0.00358717125187	0.411962241988	5.90205390487e-19	0.063375452236
SPI1	113	3.05592269191e-16	6.7611755779e-35	0.488303651308	0.155200545781	5.26190000672e-40	0.000988470689419
DMRTB	1	0.000982343959413	5.8089379633e-07	0.0470241650262	0.263436760374	3.72655817708e-07	0.34112675333
KLF5	4	1.43451051983e-06	3.06875921281e-12	0.0147009181745	0.0986392632552	5.72712956243e-15	0.238355175155
KLF4	16	2.09888790773e-08	9.76623642353e-18	0.0686940392072	0.238025594545	1.76669666113e-19	0.144382412172
KLF3	3	6.86488092585e-05	1.1685083969e-11	0.217259821297	0.475127093486	5.14376460186e-09	0.245732673664
KLF2	1	0.0432793171505	0.00459772857057	0.210477470587	0.276053612629	0.0067444748372	0.0842774683773
KLF1	3	2.78634302222e-09	3.95340118015e-25	0.0116016531654	0.167525371163	4.55577807373e-15	0.0479776518814
CNOT3	1	0.178006048373	0.168454301714	0.197183774054	0.257000224547	0.320551441	0.0653114430194
RYBP	4	0.00147393773448	6.15754628927e-05	0.217181191019	0.44034049856	4.46791686806e-09	0.264406469771
P53	10	0.000488445955632	8.76347670013e-08	0.112739198217	0.374349842993	3.12115924236e-08	0.240844996997
BMI1	3	0.102423806906	0.165559623508	0.250903994354	0.244759461628	0.160659275319	0.00690076551211
REST	12	0.0210660962001	0.00095211184959	0.166224593472	0.241726463308	0.00049124330743	0.220757883219
E4F1	2	0.115473514995	0.411273695329	0.389651061294	0.259479509647	0.0894140715578	0.00552199733399
E2F4	16	2.54956595435e-10	1.29831920623e-15	0.0611678710769	0.222192068404	7.90592019409e-30	0.00772227797721
E2F3	2	4.33733412682e-06	7.6435922819e-12	0.00953172705733	0.285866684819	2.10658331551e-13	0.349867096072
E2F2	3	0.00115776854618	0.0111681421322	0.28788049407	0.32010547242	7.38776541337e-10	0.00273595762093
E2F1	5	6.84923340922e-13	3.78580641448e-28	0.0955240077337	0.235152482274	8.93677139401e-29	0.000198339255202
MBD4	4	0.231492317223	0.291242139996	0.36216429566	0.407028749625	0.038081637766	0.406614031564
MBD1	9	0.0301053711495	0.066025760099	0.458622372556	0.435429052523	9.85609722522e-06	0.190295667552
MBD3	15	0.000207683216563	1.38410159381e-07	0.190452037047	0.426583295032	2.85442955096e-10	0.120373321139
MBD2	6	0.126834943572	0.373851648624	0.210580188125	0.188453942305	0.0410218085203	0.0539333951794
AICDA	3	5.70310110631e-08	7.42467875142e-18	0.28409299547	0.408190041113	2.08259523391e-18	0.336472741283
STAT4	3	2.13631025907e-14	4.95822782317e-32	0.320949112236	0.278949678398	5.94716867309e-31	1.68547708507e-06
RARA	8	8.77400672181e-09	1.6495262075e-18	0.00392245313502	0.13979804096	9.99799987129e-19	0.0574987784399
RARB	4	1.63438914138e-07	4.79387280518e-15	0.0109731912565	0.0931691922485	3.08477539346e-16	0.0771368691103
RARG	6	0.0293227141791	0.00348556008552	0.00921007659041	0.109771880394	0.0931954097407	0.0660084286599
HDAC6	2	0.234532610088	0.0508389263584	0.282022453921	0.423298599332	0.255426385534	0.457744924239
SIX1	3	0.00118468309935	0.0001104994442	0.473032047796	0.250088980186	1.76744637675e-08	0.0100999565088
SIX2	2	0.178043276115	0.0601978273213	0.491073335746	0.480855155493	0.0634015465682	0.198511918263
THB	5	0.000100432125882	2.15212022459e-08	0.18253153115	0.428876070776	2.07368841289e-11	0.292471489067
BMAL1	15	0.00461612426417	0.000388535831329	0.00276765780236	0.0168437353205	0.00337728201209	0.0342640151107
NKX32	2	0.00379384108226	0.000202902646899	0.0206857864142	0.0903362627535	5.61167008586e-06	0.369387058898
NKX31	4	0.00550944539522	9.36257890374e-06	0.0248072611511	0.225303228598	0.000202778562307	0.478382904418
HXC9	3	0.112613781648	0.0260839803344	0.448337293848	0.275641738135	0.0127634722821	0.440215331246
RB	1	0.277845638095	0.476747075698	0.32758796096	0.403149386644	0.103559984649	0.253947513276
FEZF2	2	5.46318013243e-06	3.43056549088e-10	0.0145115495197	0.151065459699	1.62976403546e-13	0.0397061878128
RELB	5	1.15810722536e-05	1.95471983534e-09	0.317277618067	0.449962672508	2.21413741267e-09	3.37162170912e-07
USF2	3	4.51775484605e-05	1.78689046466e-11	0.173959205984	0.463520619864	4.4008348455e-10	0.296799950921
WT1	4	4.96750054814e-06	1.11934084893e-10	0.00194842405666	0.163062162959	7.70694967493e-13	0.110359077237
RBPJL	2	0.0160710268441	0.00170804644177	0.102255005264	0.250452230681	0.000994325374249	0.0246479302147
DPY30	1	0.000229799431942	7.68678970904e-06	0.0501274921864	0.29303004394	5.49299913921e-10	0.0103324210318
LDB1	4	5.7323796385e-06	8.17549713169e-13	0.29138735302	0.320425392783	1.24905235857e-12	0.0649205642215
SUV91	1	0.0573872864879	0.473765103343	0.025270145756	0.0497129715964	0.0598155973548	0.0174833022854
SUV92	1	0.379608707165	0.406588451301	0.357818400512	0.375240410116	0.315928860344	0.457050528231
SNAI1	1	0.363192759059	0.486647593281	0.227798668318	0.429222376876	0.308138894591	0.431013894806
RFX6	1	0.213182733614	0.0604641221876	0.403592856822	0.343502635205	0.133111174949	0.394615664424
RFX1	1	5.18018321099e-05	1.71054451541e-08	0.0260659011031	0.289914333683	7.6103270014e-12	0.379180041846
FOXP3	8	7.32874700359e-17	2.33118226497e-46	0.0143208022962	0.279553868572	9.37266371337e-29	2.41699931271e-05
EZH1	8	0.0645438859901	0.320447411023	0.393504936986	0.404439981996	0.0137712261727	0.00159493100603
MSL1	2	0.0194783525382	0.000106237721732	0.0336833856351	0.288664727179	0.00593271555556	0.45752979077
MSL2	4	9.37171908376e-07	2.23105796611e-13	4.66763792893e-06	0.011084782516	4.06085010553e-10	0.154221229442
TWST1	3	0.212246418799	0.0689527007036	0.246348897804	0.292852181915	0.202797718975	0.426961210833
MED1	37	5.69834847761e-13	1.33608433264e-33	0.0104615019763	0.226654921909	4.02347981679e-26	0.471357182108
PRGC1	1	0.152176098928	0.0207423717827	0.295891198227	0.449796302655	0.0634490328609	0.465908769226
ZFP384	3	1.86944048671e-06	3.18422559545e-13	0.345180970719	0.243413397236	1.75855396465e-14	0.0485296733027
RUNX2	7	4.04614546067e-08	5.28225511159e-17	0.0255843247139	0.10650549806	9.16364736614e-18	0.0822192919428
DNM3B	9	0.094320082922	0.0406266169309	0.186879036361	0.331535739037	0.00845494745258	0.350758625849
MKL1	1	0.385446649373	0.440116970071	0.496843853087	0.464255290782	0.241151061164	0.347525997968
MKL2	2	0.415578913062	0.456302687065	0.462513783063	0.454941815615	0.439345834945	0.293851179694
RUNX1	21	4.03425694702e-15	9.11413427949e-39	0.0371390858532	0.334914904164	4.17860360478e-31	0.0225582547001
CBX1	2	0.331047017869	0.4367302735	0.432258287881	0.436560099641	0.345016412059	0.139832453938
SP16H	1	0.275626669847	0.128352550839	0.424961229144	0.260718305424	0.446929995466	0.250288760904
TCF7	5	3.96835968452e-14	4.03703891221e-37	0.00294901229644	0.219506408491	1.40337214702e-27	0.268346273555
NDF1	1	1.64708422138e-05	3.45145106777e-09	0.126911389898	0.413132949268	6.24589147349e-14	0.107248801018
NDF2	2	0.0102899880674	6.70154122539e-05	0.380348131986	0.29395559808	4.00730618397e-05	0.384223667066
GCR	33	2.84022073017e-08	2.66712966254e-13	0.19883882011	0.13331981607	3.66755513015e-20	7.12760790993e-05
NR6A1	2	0.00177569548883	1.5733109415e-06	0.43106127676	0.44310350992	1.33074717716e-07	0.441456727102
IRF3	2	6.88115427782e-11	1.05425424013e-28	0.062872054469	0.207394669443	2.09571040452e-20	0.0535518658689
IRF2	4	0.0235090502241	0.00913439924932	0.0170080233213	0.296897411983	0.0314066958328	0.0049569315967
IRF1	7	3.14522923402e-18	1.07322635086e-33	0.0108170328699	0.0291746694035	3.02555130102e-38	3.00366557317e-14
IRF4	52	2.30806312639e-19	5.01153579678e-45	0.178847954578	0.455504579189	2.54705479847e-44	6.29872377839e-05
TIF1B	9	0.000185071884644	1.14411969629e-06	0.175292951546	0.351324079093	7.70340157947e-12	0.40001462237
IRF8	10	2.10064521781e-10	3.94026376344e-10	4.39781137358e-05	0.00928789949001	7.32645537018e-19	3.46888770001e-15
PO5F1	52	1.998481705e-07	9.71657153212e-14	0.0240331025573	0.22030422797	2.16967601774e-18	0.285601360466
MEF2A	2	0.16088359908	0.226579913141	0.1378162221	0.37263745155	0.0713484518314	0.129827311671
CREM	1	5.70585147347e-06	9.25249820628e-14	0.0146436332533	0.218930611409	1.11195087843e-10	0.183359057272
MEF2D	11	0.00023576867458	4.71188189393e-08	0.0250747665205	0.475733239183	1.58084373188e-08	0.0819873365837
TF65	38	5.91726450778e-16	3.6333130114e-34	0.389453664723	0.223046536592	4.84701465116e-39	0.000474216313568
HDAC1	5	0.00726039429392	0.000530613768258	0.46916522349	0.399609862223	9.86145538046e-07	0.205645634365
HDAC3	10	4.23977169836e-07	1.12028082931e-13	0.464557816227	0.234466567107	8.81959579407e-17	0.012729638635
HDAC2	2	0.0546841404223	0.203008394677	0.312082650305	0.295018779064	0.000517943727372	0.050511595603
CLOCK	9	0.0333652740284	0.000624738631608	0.177364675707	0.272647890608	0.0308089160634	0.044425203725
RCOR3	1	0.24394086809	0.379214848842	0.146115760086	0.111120286938	0.29296269296	0.478888883037
RCOR2	1	0.178248174011	0.410450217441	0.252023010004	0.430867422548	0.0283837461119	0.14223660951
RCOR1	4	1.92815911097e-07	1.48753247e-14	0.461111407295	0.106499649114	3.7948274622e-16	0.000961394895814
CBX8	3	0.000165323428354	2.63624218794e-09	0.0496925505466	0.191477412883	1.61476754064e-08	0.304907325235
CBX7	4	0.123103383257	0.0284046933482	0.177008966294	0.218702379562	0.201411340849	0.127651859104
CBX5	3	0.155047718345	0.454931103873	0.162545261254	0.332670536845	0.0503817656814	0.072296826086
CBX3	4	2.03448020795e-06	4.43747538798e-13	0.0488266173572	0.353257705536	3.07649259769e-14	0.148022328854
SMBT1	2	1.71451773798e-06	9.0199748725e-14	0.000194266537812	0.0488070562896	7.58770544512e-10	0.0228303992793
COE1	9	7.2135631781e-09	3.26231986222e-21	0.201329595969	0.431003726279	4.19493401633e-19	0.164478401953
SMCA5	2	3.69458273367e-05	2.38704033317e-10	0.370154422159	0.255452865628	1.06425913328e-11	0.286566960366
SMCA4	22	1.09280163995e-11	8.78935691115e-26	0.0558504422429	0.455161529274	1.16790441599e-25	0.000597241703102
PO3F1	1	0.00627269491925	9.86654591821e-05	0.00150052346415	0.0825640058515	0.00262601887811	0.302534073923
PO3F2	3	0.132036272555	0.0918790434993	0.186629606356	0.206870837423	0.0586830712923	0.192777864114
MYT1L	1	0.271586441815	0.129213415604	0.353604984443	0.435306425939	0.284094196168	0.261491153892
TBX19	1	0.00108867265357	7.44014808505e-08	0.273249873314	0.143291954579	1.15344045893e-06	0.455122213906
PRGR	5	2.09813113318e-07	7.03506921499e-15	0.0167345046706	0.279846081897	2.76743307971e-17	0.445949360241
TET1	14	0.000716316054908	6.72799066193e-05	0.116463284541	0.491728634101	3.56276184432e-10	0.137384178317
ASCL1	7	0.0662959404583	0.0176940038691	0.181020242385	0.400244368931	0.00414298415889	0.241125374802
MTOR	1	0.0110421373601	0.000759980946164	0.0320868366962	0.201665275728	0.000301538991983	0.110703541697
HIF1A	6	2.01594996657e-12	2.9515610138e-35	0.0133879023765	0.352923913069	9.39609211714e-22	0.254100835133
EP300	83	1.03329708159e-18	1.61007838035e-44	0.0427995640505	0.428528675073	3.32602972414e-43	0.0119931602266
TAF7L	3	5.43610140975e-08	3.26868022341e-16	0.00159783944091	0.0983608874577	5.4294682849e-16	0.0170197210435
RAD51	3	0.163548635285	0.273475429087	0.114000645142	0.190932589925	0.162793313081	0.120751455932
CDK8	1	3.07755515478e-05	1.44979783419e-08	0.0878428380611	0.349424563832	3.04692057776e-13	0.203610820372
CDK9	4	2.00950716853e-06	1.20555116675e-13	0.0541816520527	0.331863765565	8.30071937114e-14	0.182110228802
NRF1	2	0.00077724165026	9.89090077269e-09	0.303914565416	0.395703915639	7.63109540187e-07	0.312489720565
PHF19	4	0.0271858776948	0.0104047869121	0.252245068791	0.423328020051	0.160622329918	8.32104712982e-05
NFYC	1	0.0148318039172	0.0024975219648	0.396525217651	0.489023009699	5.99045674487e-06	0.247400468106
NFYB	1	0.0113255351755	0.000450175719115	0.173383960756	0.298737602831	2.57091017865e-05	0.310832115498
NFYA	7	0.00045111269927	2.98034899599e-07	0.223350139747	0.474979213836	1.25147934552e-09	0.47214307443
EZH2	44	0.013567482178	0.000514098450637	0.115149859152	0.371760849481	0.274758479807	7.60276971513e-05
PITX2	1	0.000539487635918	1.95205235872e-08	0.0260718510677	0.195539533272	1.35662056596e-06	0.33849415959
NR1D1	4	1.81764651372e-05	7.96937718157e-12	0.0266312139042	0.170607578475	1.41326084289e-10	0.387713701704
NR1D2	2	2.20025948515e-08	9.08869365467e-18	0.325539956938	0.340863443883	2.21961352565e-19	0.0230359407218
PITX1	2	0.0117102610099	0.00314289696565	0.0316635581647	0.293203020654	3.68926667475e-05	0.204566505467
SOX6	2	0.275012187003	0.444023588817	0.3021218989	0.350425335746	0.459424797888	0.0728385881888
SOX4	1	8.7318724317e-09	1.6351219162e-22	0.00179650165613	0.164102174817	3.30172658045e-15	0.318936120373
CEBPB	56	3.99944777173e-11	6.99933218616e-22	0.490575219225	0.190581836833	1.16999776086e-28	0.0133650749254
CEBPA	36	3.42755615033e-11	5.90033673657e-23	0.436366614512	0.166395737443	1.88750575538e-28	0.0585011084961
CEBPD	9	0.000390713459237	4.46117839219e-07	0.13221762882	0.0583052771682	4.16398603162e-07	0.00635822331822
KDM4C	5	2.64587047526e-05	2.15289236919e-07	0.00799888206851	0.137764622522	4.44149879384e-12	0.0123062018225
KDM4B	1	0.000101826258484	2.59341527724e-09	0.185555822049	0.438493763734	2.01558592678e-10	0.257387553928
MED12	4	0.00162831320268	7.22269511899e-07	0.0397254915475	0.406924760786	1.46558673357e-05	0.0668952862547
ETS1	7	3.62127677429e-20	2.75626224038e-54	0.0218329484707	0.46466015759	1.35177096244e-39	0.00164754438145
SUZ12	60	0.0122977100999	0.0322987735591	0.0724846852386	0.356079150372	0.00791359523731	4.26352277785e-05
PPARG	24	1.52556363092e-07	1.73593870843e-16	0.0442102347922	0.214791730353	7.71889095427e-16	0.0649414471899
SCML2	2	0.191653893484	0.203963511722	0.142412090991	0.137776820008	0.42546971784	0.151860238086
COT2	1	0.202419246608	0.100279758547	0.288337612972	0.287721495499	0.319316161818	0.127923764959
PBX1	2	0.0134052883332	0.000137412201488	0.36076648002	0.448696458195	4.04546990539e-05	0.481069369318
SOX11	3	0.284858358007	0.206462580139	0.247196584836	0.474531886983	0.354129518719	0.218692296926
FOXL2	1	0.0524853389754	0.0117067744793	0.42969734998	0.250929055411	0.00174397545273	0.180925084939
TGIF1	4	1.41079760097e-10	3.29848349703e-25	0.290183667227	0.218631580805	2.19540692003e-23	0.121648948203
HSF1	5	0.000401017489718	8.37621387381e-05	0.0809547023795	0.229378636829	1.00314990564e-06	6.64672832384e-06
ZFX	1	7.12719980619e-06	1.75419218501e-14	0.0247977959864	0.184449120774	4.97425733066e-09	0.0460786320922
TBX21	4	9.11793749144e-14	8.53447726734e-32	0.00985440119294	0.473163803641	2.79386828053e-26	5.66837333145e-07
TBX20	1	0.129501315884	0.0172374024435	0.0583002352607	0.240595757972	0.421268215659	0.357587327323
OGT1	2	5.45380740658e-08	1.70040211718e-19	0.0726272112175	0.397769283673	1.32584576392e-15	0.0740838823022
PKNX2	1	0.0445890422634	0.000768930325558	0.393361356081	0.262206804628	0.0306524628195	0.0725024540463
PKNX1	1	0.000492435982396	1.03146493266e-08	0.266169319116	0.142518028721	2.57913002034e-07	0.286941518711
RORG	9	4.64024477927e-11	2.82006483811e-30	0.168212543171	0.491600615878	1.16598374298e-20	0.0791192332716
RORA	1	0.000656024422848	1.05651760026e-06	0.407064325847	0.301917019932	7.38385159025e-09	0.126732996683
BRDT	2	0.134982993327	0.0994235933913	0.405073440678	0.490496048074	0.00462242876907	0.49075678062
BRCA1	5	2.74046675163e-10	9.73059769985e-21	0.353613564509	0.15238486998	2.6567517943e-25	0.0110958715899
ETS2	5	1.04177659206e-07	3.89588435318e-14	0.0115360139355	0.0482765561882	3.45445279182e-15	0.00016371768759
CREB1	13	1.7734427289e-08	5.89080491163e-21	0.0561455536432	0.10466821372	4.6915604502e-15	0.0108009934375
NFAC1	2	0.209717192457	0.0497999224749	0.224011137447	0.391304517854	0.193343330123	0.480648775989
PER2	1	0.0196283307377	0.00114738357281	0.0757394936756	0.288937368751	0.000697238954704	0.166418059749
PER1	1	0.0376496638478	0.0126920476717	0.0160081914754	0.12236555198	0.0285631166103	0.106528738325
NFAC2	1	0.00167682210586	8.38485336316e-05	0.264875856375	0.115584407065	6.65352760023e-07	0.00776150417849
BRD4	6	4.33562007898e-13	6.56294469612e-35	0.0197054480973	0.309687364525	2.56962042876e-25	0.148860191172
ZC11A	3	0.0110288164028	0.491769312986	0.206279396743	0.0499488598306	1.84577576662e-05	0.00174470794596
THA	1	0.145830881708	0.14303539901	0.390033280746	0.411829502454	0.00642212364723	0.446998629885
KAT8	10	8.92737524483e-08	1.41611598967e-14	0.00389879875293	0.124246997354	1.01248888858e-12	8.16419062639e-07
KAT5	3	0.00029623489966	2.21359006894e-10	0.113873196207	0.23190559977	9.13388945446e-07	0.42726312614
RBBP5	5	9.50097281979e-09	6.53740509918e-17	2.0373200255e-06	0.0324249366772	1.13534143712e-16	0.15789562674
FOXA1	10	9.35863382091e-06	1.76596986238e-09	0.00174202402825	0.147462044884	1.92771044006e-12	0.0820923699599
RUNX3	6	9.63841768296e-18	3.42419159381e-44	0.00325825127626	0.117287790796	1.23495212919e-36	0.00514734352094
DNM3A	6	0.064495279524	0.490725020659	0.0907125009933	0.0786066468574	0.378901459079	0.000841683387205
