GeneName	HJV5JBCXX_PR0478_01A0202	HJV5JBCXX_PR0478_02A0403	HJV5JBCXX_PR0478_03A1105	HJV5JBCXX_PR0478_04A1206
Gm12866	0	0	0	0
Tcof1	5618	7247	5404	7715
Gm3279	0	0	0	1
Prmt10	1289	1368	1281	1204
AI662270	1541	1684	2187	1983
Olfr523	0	0	0	0
Olfr522	0	0	0	0
Olfr521	0	0	0	0
Olfr520	0	0	3	0
Olfr527	0	0	0	0
Olfr525	0	7	0	0
Olfr524	0	0	10	0
Gm10640	2	14	13	55
Gm10649	0	0	0	0
Zik1	48	111	50	173
5730435O14Rik	0	0	0	0
Usp8	3566	3524	4388	4353
Usp1	3940	4210	3918	5299
Usp2	52	91	130	89
Usp3	4662	5548	4412	4710
Usp4	7333	8832	7264	8890
Usp5	3244	3117	3641	3577
Usp7	5200	5776	5242	5513
Rpl38	3293	3444	3273	5057
Rpl39	3131	3654	3315	5069
Rpl36	8612	9075	8969	13282
Rpl37	6682	7480	7154	10283
Rpl34	72	55	97	108
Rpl35	8192	9962	8759	12416
Rpl32	29779	33904	32209	45546
Rpl30	17	22	18	27
Rpl31	390	412	432	611
Cd302	145	89	104	105
Fam13b	2954	3178	2474	2611
Fam13c	0	0	0	0
Fam13a	0	0	0	2
Bcas2	2531	2502	2778	3326
Bcas3	1659	1349	1659	2001
Bcas1	11	0	9	0
Gm8369	760	656	1224	1139
Gm8363	0	0	0	0
Hist3h2ba	19	3	15	8
Mlycd	1267	1395	1316	1312
Hist4h4	18	6	10	29
Rpl3l	0	0	0	0
Ttbk2	164	177	240	239
Gm10046	0	0	0	5
Ttbk1	0	2	0	0
Ncor2	623	863	695	982
Ncor1	12964	12953	14309	14197
1810010D01Rik	2	21	10	21
Pebp1	1786	2125	2066	2482
Gkn1	0	0	0	0
Gkn2	0	0	0	0
Gkn3	0	0	0	0
Magohb	258	235	319	312
Nkiras1	375	179	313	292
Ppme1	987	996	848	1007
Gltpd2	0	0	0	0
Gm19276	0	0	13	0
Gm19277	2	0	0	0
Cep162	643	934	1075	929
Gm14015	0	0	0	0
Lrriq1	4	6	11	0
Lrriq3	5	22	4	7
Lrriq4	0	0	0	0
Vmn2r84	251	178	213	171
Vmn2r85	1	0	2	2
Vmn2r86	0	1	0	0
Vmn2r87	6	0	5	4
Vmn2r80	0	0	0	0
Vmn2r81	0	0	0	12
Vmn2r82	5	0	5	0
Vmn2r83	0	0	1	0
Tinf2	887	808	1035	774
Vmn2r88	0	0	0	0
Vmn2r89	0	0	1	0
Egf	57	31	87	116
Slc4a11	0	0	0	7
Slc4a10	179	163	89	179
4930519G04Rik	0	0	0	0
BC026585	23	10	28	55
1700013D24Rik	0	0	0	0
Ptprz1	13	0	9	23
Pold1	2050	1765	2400	2262
Pold2	976	1091	1258	1284
Pold3	1571	2389	2074	1768
Pold4	125	126	215	177
Hdac1	3492	3623	3761	3732
Hdac3	2411	2391	3109	3118
Hdac2	2048	2602	2142	2847
Hdac5	1059	1243	1030	1086
Hdac4	1534	2164	1894	2205
Gm11681	0	0	0	0
Hdac6	445	431	320	416
Hdac9	0	0	11	19
Hdac8	286	236	448	337
Gmpr	5	5	4	1
Gmps	4472	4200	4593	4970
1110032F04Rik	22	61	4	31
4930557J02Rik	3	3	1	2
Pvr	429	429	614	487
4732471J01Rik	19	25	3	8
Lix1l	2	4	3	3
Ikzf5	1507	1482	1616	1674
Ikzf4	32	17	118	108
Ikzf1	10035	11624	11201	12905
Ikzf3	10945	13606	12731	14783
Ikzf2	179	28	118	100
H2afv	1756	1842	1879	2295
Mbtd1	1303	1172	1163	1291
H2afx	589	724	776	988
H2afy	9571	8564	11502	12003
H2afz	5108	5403	6180	6796
H2afj	2158	2151	2477	2919
Theg	0	0	0	0
Fgf18	0	3	0	0
Fgf13	5657	5805	6164	5886
Fgf12	0	0	0	0
Fgf11	0	0	0	0
Fgf10	0	0	4	0
Fgf17	0	0	0	0
Fgf16	0	0	1	0
Fgf15	0	0	0	0
Fgf14	0	0	0	0
Dpcr1	0	2	1	0
Prss46	0	0	0	0
Prss44	0	0	0	0
Prss45	0	0	0	0
Prss42	0	0	0	0
Snrpd1	814	776	981	1166
Prss40	0	0	0	0
Prss41	18	0	14	0
Prss48	0	0	0	0
Phc1	356	312	291	435
Phc3	2028	1978	2392	2070
Phc2	2954	4293	3460	4202
Sh2d4b	12	6	16	4
Golt1b	1475	1489	1456	1564
Golt1a	0	0	0	0
4930544M13Rik	0	0	0	0
Grin1os	0	0	0	0
Chmp3	2036	2427	2189	2120
Chmp7	2440	2683	3024	3705
Chmp6	1514	1617	1781	1813
Chmp5	2142	1949	1964	2322
Mir6940	1	0	0	0
Mir6941	0	0	0	0
Mir6942	8	5	6	11
Mir6943	0	0	0	0
Mir6944	0	0	0	0
Mir6945	0	0	0	0
Mir6946	0	0	0	0
Gcnt2	103	83	168	134
Mir6948	0	0	3	0
Mir6949	0	0	0	0
Mark4	139	228	330	276
Mark1	0	0	0	0
Mark2	5792	6220	5683	6255
Mark3	3125	3426	3352	3800
4930565D16Rik	0	0	0	0
Nmd3	1459	2258	1560	2246
Rps15a-ps6	124	128	171	171
Extl1	1	0	25	0
Extl2	486	537	393	620
Extl3	1737	2078	1665	2502
Gm7609	9	19	45	19
Tia1	1379	1693	1629	2103
Tmem160	1152	1066	1437	1788
Tmem163	334	243	560	436
Tmem165	2009	2040	2162	2306
Tmem164	2347	1970	2220	2063
Tmem167	3081	3156	3083	3399
Tmem169	0	0	1	0
Tmem168	2502	2229	2500	2907
Tbc1d8	56	59	86	22
Tbc1d9	0	1	16	0
Tbc1d1	3951	4478	3820	4447
Tbc1d2	166	93	242	73
Tbc1d4	885	948	954	817
Tbc1d5	1251	1539	1138	1413
Tbc1d7	248	90	305	380
Spata45	1	0	2	7
Tex13a	0	0	0	0
Mir3070a	0	0	0	0
Mir3070b	0	0	0	0
4933405E24Rik	0	0	8	0
Akirin2	861	1089	1012	1104
Akirin1	3574	4186	3613	4376
Olfr247	0	0	0	0
Ap3m1	2113	2164	2527	2190
Crhbp	0	0	0	0
Limd2	21442	22915	22707	28649
Limd1	7768	8702	7214	9338
1700046C09Rik	0	0	0	0
Nop58	2227	1982	2045	2497
Acsf2	104	301	173	211
Nop56	6942	6234	7392	7694
Gga2	179	242	272	515
Sarnp	2530	2985	2683	3348
Kcnip4	8	19	10	8
Kcnip3	0	33	27	149
Kcnip2	23	1	48	9
Kcnip1	1	0	0	0
4930553E22Rik	0	0	0	0
4930447A16Rik	2	0	7	0
Tpcn1	174	297	195	286
Tpcn2	361	255	310	591
Tcirg1	1409	1271	1610	1536
Ltbp4	28	15	50	15
Ltbp3	0	0	0	62
Ltbp2	0	0	0	0
Tcl1	0	0	0	0
Olfr911-ps1	7	0	10	10
Chadl	1	0	0	0
Pappa	0	0	5	0
9530082P21Rik	552	596	516	625
Gm1600	0	0	0	0
Cxx1a	52	51	54	59
Secisbp2	606	749	784	954
Cxx1c	138	83	115	201
Cxx1b	82	102	121	116
Cacna1h	0	0	1	0
Cacna1i	0	0	0	0
Murc	0	0	0	0
Calhm1	0	0	0	0
Calhm2	355	297	425	411
Cacna1a	70	109	90	129
Cacna1b	0	1	1	0
Cacna1c	67	52	47	14
Cacna1d	30	28	47	28
Cacna1e	1	0	4	0
Cacna1f	2	0	0	0
Cacna1g	0	0	0	0
Olfr1415	0	0	0	0
Cacna1s	3	6	6	0
Olfr1414	0	0	0	0
Xrn1	2663	2266	2606	2898
Xrn2	15355	15991	19078	19876
Pde11a	57	86	96	73
Gm17689	0	0	0	0
Nubpl	135	139	111	176
Dqx1	46	58	11	20
Dynlrb1	1734	1655	1779	2070
Mir7228	0	0	0	0
Mir7229	0	0	0	0
Mir7222	0	0	0	0
Mir7223	1	0	1	1
Mir7220	0	0	0	0
Mir7221	0	0	0	0
Mir7226	0	0	0	0
Mir7227	12	11	17	2
Mir7224	0	0	0	0
Mir7225	0	0	0	0
Mir1298	0	0	0	0
1600015I10Rik	0	0	0	0
Cnot8	3611	4266	4107	4769
Gm10486	0	0	0	0
Gm10487	0	0	0	0
Cnot3	1742	1980	1772	2066
Cnot2	3390	4070	3579	4675
Cnot1	11234	12805	11750	13390
Cnot7	2226	2767	2041	2911
Cnot6	4133	4061	4415	4406
Cnot4	2820	2782	2372	2874
Mir3107	0	0	0	0
Mir3106	0	0	0	0
Mir3105	0	0	0	0
Mir3104	0	0	0	0
Mir3103	0	0	0	0
Mir3102	0	0	0	0
Mir3101	1	5	3	4
Mir3100	0	0	0	0
Oscar	0	0	0	0
Mir3109	0	0	0	0
Mir3108	0	0	0	0
Sirpb1a	4	7	5	42
Sirpb1b	0	0	0	8
B930018H19Rik	0	0	0	4
Nfic	1302	1197	1725	1446
Cnr1	2	0	0	0
Nfia	69	170	132	164
Mir877	0	0	0	0
Mir876	0	0	0	0
Mir875	0	0	0	3
Mir874	0	0	0	0
Mir879	0	0	0	0
Mir878	0	0	0	0
Cxcr3	8593	10079	7764	11399
Cxcr2	0	0	1	10
Cxcr1	0	0	0	0
Ttyh1	0	0	0	1
Ttyh2	83	43	35	51
Cxcr4	100	150	102	104
Cyp2j11	0	0	0	0
Cyp2j12	0	0	0	0
Cyp2j13	0	0	0	0
Fbxl20	1112	1191	1396	1017
Fbxl21	17	18	0	1
Fbxl22	134	117	109	133
D19Bwg1357e	3715	4038	3223	4493
5930412G12Rik	0	1	0	0
Dlc1	16	3	10	0
Pkig	94	70	103	99
Pkia	0	0	26	0
Pkib	13	0	20	31
1810026J23Rik	1939	1976	1828	2117
Trnt1	1745	1787	1878	2261
A930031H19Rik	0	0	0	0
Lnpep	1862	2591	2428	2239
Gss	617	539	681	865
Gsr	2722	2526	2874	2891
Izumo1	0	0	0	0
Gsc	0	0	0	0
Izumo3	0	0	0	0
Izumo4	632	592	965	964
Gsn	342	379	421	543
Wnt3	0	0	15	3
Wnt2	0	0	0	0
Wnt1	0	0	0	0
Wnt6	0	0	0	0
Wnt4	5	1	8	6
Syngap1	0	0	0	0
Fam219aos	3	3	2	6
Trpd52l3	0	0	0	0
Grhl1	35	58	0	34
Grhl2	43	4	14	2
Sod1	999	973	944	1220
1190005I06Rik	0	0	0	0
Defa6	0	0	0	0
Defa5	0	0	0	0
Defa4	0	0	0	0
Defa3	0	0	0	0
Defa2	0	0	0	0
Cyp4f41-ps	1	3	11	10
Hhatl	0	0	0	0
Tmprss9	2	0	3	0
Cyp4a12a	0	0	0	0
Tmprss2	0	0	0	0
Tmprss3	0	0	2	2
Tmprss4	0	0	1	16
Tmprss5	0	0	0	0
Tmprss6	0	0	0	0
Tmprss7	0	0	2	7
Trhr	0	0	3	0
4933427I22Rik	0	0	0	0
Tmed11	0	0	0	0
Tmed10	3212	3976	3993	4228
Sdpr	0	0	9	0
Gm15217	0	0	0	0
Gulo	0	0	0	0
Rrh	0	0	0	0
3110082I17Rik	51	52	86	124
Id4	2	0	2	4
Id2	25034	18738	30510	28705
Id3	543	1041	347	706
Id1	0	4	6	8
Rrnad1	470	416	797	521
Tpd52	531	792	529	904
Asgr1	0	0	0	0
Asgr2	0	0	0	0
Csn2	0	0	8	0
Csn3	0	0	0	0
Sorcs3	0	0	1	1
Trub1	229	326	388	355
Trub2	754	981	956	913
Ids	2234	2048	1787	2445
Zfp503	0	0	0	12
Zfp507	1091	827	752	739
Ide	9241	9987	9871	11826
Arpp21	2	0	12	0
Barhl2	0	0	0	0
Barhl1	1	3	0	0
Gsta4	0	0	2	10
Gsta1	0	0	0	0
Gsta2	0	0	0	0
Gsta3	0	0	9	0
Lyl1	1	2	8	7
Med30	1391	1513	1595	1772
Med31	182	153	206	215
Tmem29	191	148	216	253
Ctag2	0	0	0	0
Tmem28	0	0	0	0
Gm6537	0	0	0	0
Ccnyl1	235	86	188	241
Tat	0	0	0	0
1700018G05Rik	0	0	0	0
Upk2	0	0	0	0
Taz	1468	1546	2047	1735
Apoc4-apoc2	0	0	0	0
Mir409	0	0	0	0
Aacs	1311	1234	1433	1582
Olfr196	0	0	0	0
Olfr197	0	0	0	0
Olfr194	0	0	0	0
Olfr195	0	0	0	0
Olfr192	0	2	0	0
Olfr193	0	0	0	0
Olfr190	0	0	0	0
Olfr191	0	0	0	0
Immp1l	674	705	732	787
Prl7a1	0	4	0	0
Prl7a2	0	5	1	0
Olfr198	0	0	0	0
Olfr199	0	0	0	0
Hotair	0	0	0	0
Lrrc18	0	0	0	0
Mb	0	0	1	0
Lrrc17	0	0	0	0
Lrrc14	1011	1043	1308	1266
Lrrc15	0	0	0	0
Lrrc10	0	0	0	0
Basp1	10	0	14	18
Fiz1	846	1090	843	1054
Nespas	0	37	6	6
Apopt1	815	754	669	949
Myd88	1999	2332	2429	3062
Gm20806	0	0	0	0
Gm20809	0	0	0	0
1700012B09Rik	0	0	0	0
Gm11186	0	0	0	0
1700028D13Rik	0	0	0	0
4930539M17Rik	0	0	0	0
Glb1l2	1	0	0	0
Glb1l3	4	0	0	0
Gm11236	0	0	0	0
Gm11237	0	0	0	0
Gm4827	1	0	0	0
D17H6S53E	113	119	137	156
Gm6093	0	0	4	0
Efhd1	0	0	15	0
Fam206a	650	813	824	1311
Eddm3b	0	0	0	0
Zcchc13	0	0	0	0
Zcchc12	0	0	0	0
Krt28	0	0	0	0
Zcchc10	430	316	329	383
Zcchc17	1991	2319	1904	2155
Alkbh8	720	850	905	947
Olfr1274-ps	0	0	0	0
Zcchc14	2	6	7	16
Krt23	0	0	1	0
Krt20	1	0	0	0
1700126H18Rik	0	0	0	0
Krt26	0	0	0	0
Krt27	0	0	0	0
Krt24	0	0	0	0
Krt25	0	0	0	0
Ppp1r18	7710	7754	8524	9540
Dnaja2	4983	5656	5447	6136
Dnaja3	3006	2838	3028	2969
Dnaja1	12290	17120	10020	12654
Dnaja4	1703	2566	1827	2033
A630010A05Rik	0	0	0	0
Gm19402	0	0	0	0
Acer2	166	234	264	324
Acer3	296	294	299	259
Acer1	0	0	0	0
Recql	1665	1809	2179	2539
D330045A20Rik	0	0	0	0
Psma8	0	0	0	0
Alppl2	0	0	0	0
Lactb2	696	479	726	565
Agbl4	0	0	0	0
Agbl3	19	25	39	40
Agbl2	0	0	0	0
Agbl1	2	0	0	0
Ccser2	3176	3106	3354	3829
Ccser1	0	6	13	5
Stard8	0	9	4	0
Srp14	2420	2469	2871	3191
Stard3	959	1181	1329	1472
Srp19	1439	1425	1853	2116
Stard6	4	26	3	4
Stard7	3561	3972	3397	3966
Stard4	217	252	200	251
Stard5	422	648	577	630
AI314278	0	0	0	0
Usp42	1355	1744	1705	1592
1700110C19Rik	2	0	0	0
Dock8	6093	4360	5202	5474
Dock9	976	1103	766	1435
Dock2	39558	39717	44054	44148
Dock3	8	9	20	22
Dock1	0	0	1	51
Dock6	56	104	114	65
Dock7	0	0	4	45
Dock4	31	38	36	88
Dock5	4237	2572	4932	3845
Phxr4	509	582	448	562
Hsd17b12	1454	1653	1525	1906
Hsd17b13	0	0	10	0
Hsd17b10	1097	1128	1225	1459
Hsd17b11	92	80	99	133
Hsd17b14	7	6	0	3
4930519H02Rik	0	0	0	0
Cngb1	0	0	0	0
Cngb3	0	2	3	0
Cox20	869	818	948	1172
4930517M08Rik	0	0	0	0
Nup214	3515	3925	2833	4284
Nup210	19775	20392	21245	25106
Cyp2c66	0	0	0	0
4930448F12Rik	0	0	0	0
Olfr1158	0	0	0	0
Msmp	0	0	0	0
Olfr1154	0	0	0	0
Olfr1155	0	0	0	0
Olfr1156	0	0	0	0
Serpina4-ps1	0	3	3	5
Olfr1151	0	0	0	0
Olfr1152	0	0	0	0
Olfr1153	0	0	0	0
Slc23a1	71	45	79	53
Slc23a3	7	1	0	17
Slc23a2	935	1428	1062	1195
Mir22hg	35	23	79	34
Msmb	0	7	0	4
Bbx	1589	1405	1892	1722
4930517E11Rik	0	0	0	0
Snord17	16	26	35	38
Snord11	0	1	2	0
Snord12	3	16	11	10
Snord19	5	0	5	3
Dusp19	395	424	354	461
Dusp18	1	0	123	2
Dusp15	0	0	0	0
Dusp14	62	37	35	12
Dusp16	18	5	52	21
Dusp11	4685	4751	4645	5519
Dusp10	441	471	275	393
Dusp13	4	0	13	0
Dusp12	457	606	505	528
Sgpl1	5374	6029	5174	5833
Fate1	0	0	2	0
Snord1a	0	0	0	0
Snord1b	2	0	0	0
Snord1c	0	0	0	2
Slc20a2	524	529	526	693
Slc20a1	14501	10831	16623	10964
Cadm4	0	0	0	0
Cadm2	0	0	19	0
Cadm3	2	1	2	4
Srcin1	29	18	33	29
Cadm1	23	1	0	0
8430426J06Rik	0	0	0	0
Eif3j1	0	0	0	0
Spin2c	126	241	244	214
Spin2d	0	0	0	0
AA536875	0	0	0	0
Sptbn4	0	1	0	4
Sptbn2	26	26	49	27
Sptbn1	8835	10446	9467	10434
Nell1os	0	0	0	0
Cldn34d	0	0	0	0
Cldn34a	0	0	0	0
C130050O18Rik	3	3	0	36
Dfna5	22	41	8	51
Hsf2bp	0	0	0	12
Ski	4694	5164	4754	5083
Gm2560	0	0	0	0
Slx4ip	217	164	259	292
Krtap11-1	0	0	0	0
Adig	6	1	0	0
Hpse2	0	0	0	0
Fnd3c2	0	0	0	0
C330021F23Rik	15	18	23	20
Gm16451	0	0	0	0
Rab22a	873	931	965	983
Cdk2ap1	438	510	370	424
Cdk2ap2	6005	6967	6608	8773
Speer4cos	0	0	0	0
Adi1	965	1073	1126	1097
Pcsk1n	0	0	0	0
Pdk1	5616	5162	5370	6623
Pdk3	1349	1384	1259	1511
Pdk2	347	452	450	588
Pdk4	5	0	4	2
Grpel1	2158	2353	2623	2787
Grpel2	858	1177	870	1203
Il12rb1	1274	1008	1342	2216
4931429I11Rik	0	12	0	0
Il12rb2	1686	1546	1887	1849
Prkrir	3812	3518	4070	4413
1700021K19Rik	1135	1626	1119	1494
Ankrd33b	0	0	0	0
Scn5a	5	0	0	0
Hif3a	0	0	0	4
Pecr	84	138	146	100
Golga1	844	859	1220	1335
Golga2	2293	2341	2052	2596
Golga3	1471	1737	1622	1930
Golga4	3287	2846	3575	3113
Golga5	2222	2136	2333	2465
Golga7	3557	3707	3846	4789
4930546C10Rik	0	0	1	0
Ring1	355	380	516	485
A330050F15Rik	0	0	0	0
Tbk1	3434	3466	3611	3510
1700019D03Rik	1	0	1	10
Gm10857	0	0	0	0
Bop1	1592	1871	1783	2294
Vps13d	1110	1192	1309	1302
Soga3	0	5	0	0
Soga1	0	0	0	0
Vps13b	3990	3688	4656	4883
Gja1	0	0	1	0
Gja3	0	0	0	0
Gja4	0	0	0	0
Gja5	0	0	0	0
Gja6	15	0	29	0
Gja8	0	0	0	0
Gsdmcl-ps	4	3	0	1
Abcc8	0	0	0	0
Abcc9	0	0	6	2
Abcc4	1111	1105	1374	1461
Abcc5	2586	2545	2769	2024
Abcc6	0	0	0	0
Abcc1	1645	1775	1659	1664
Abcc2	0	0	9	0
Abcc3	25	0	67	2
Taco1	223	92	215	138
Cyp21a1	0	0	0	0
Nudcd2	527	506	599	876
Nudcd3	2628	1861	2430	2938
Nudcd1	747	644	589	926
Ift74	190	195	168	220
Preb	2022	1775	2372	2846
Prep	1722	1397	1427	1900
Pex11a	21	21	5	34
Hmga1	28	46	26	29
Gm10142	0	0	0	0
Higd1a	1188	1133	1279	1645
Slc25a20	878	798	1075	984
Higd1c	0	0	0	0
Higd1b	0	2	1	1
BC089491	0	0	0	0
Slc25a21	0	0	0	14
2700038G22Rik	153	69	187	138
Pex11g	178	175	194	182
Gm11437	0	0	0	0
Ap4m1	94	117	127	131
Ssx2ip	381	303	193	492
Atg9a	518	691	655	960
Atg9b	101	31	29	16
Blnk	0	0	4	0
Sqrdl	24	4	0	22
Ahrr	0	12	23	0
Bhmt2	0	0	0	0
Nt5dc2	4	39	49	45
Nt5dc3	111	136	164	233
Nt5dc1	2056	1799	2282	2757
Ugt1a10	0	0	0	0
Psap	7919	7347	7313	9178
Olfr849	0	0	0	0
Olfr845	0	0	0	1
Olfr846	0	0	0	0
Olfr847	0	0	0	0
Olfr843	0	0	0	0
9030624J02Rik	4101	4690	4213	4814
Ltn1	3673	4742	4140	5291
Gtf2a1	9071	9274	9523	9733
Gtf2a2	785	793	939	957
Isg20	306	226	532	577
Fam64a	18	0	28	70
4930596D02Rik	0	0	0	0
4930412C18Rik	0	0	0	0
Gm12169	0	1	0	0
Pbxip1	5020	4707	5437	6007
4933432G23Rik	9	0	20	6
4933404G15Rik	0	0	0	0
Gm16845	162	123	203	168
Bhmt	0	0	0	0
Aloxe3	0	0	0	0
2200002J24Rik	0	0	0	0
Masp1	0	0	0	0
Masp2	0	0	0	0
Naaladl1	9	0	21	15
Fam124b	15	0	91	19
0610031O16Rik	0	0	0	0
Fam124a	0	0	0	0
Daam1	202	207	79	89
Daam2	2	2	2	1
Zfp52	1391	1300	1539	1229
Zfp53	3111	3772	3597	3442
Zfp51	1923	1941	2001	1877
Zfp57	0	0	0	0
Zfp54	479	480	573	433
Zfp58	709	728	612	837
Zfp59	435	378	529	549
Dus1l	1644	1538	1558	1586
Ntmt1	440	590	545	576
Nbas	1371	1782	1530	1483
Zyx	17298	19150	19670	20700
Plcd4	8	8	12	10
Plcd3	40	25	12	15
Plcd1	154	79	176	205
4933416E03Rik	0	0	0	0
Sec13	3038	3009	3273	3850
Krr1	1935	1576	1851	1696
Zfp330	1137	1297	1261	1302
Vmn1r125	0	0	0	0
Zfp334	0	0	0	0
Zfp335	2761	3292	2739	3146
Mir331	0	0	0	0
BC037156	0	0	0	0
Foxe1	0	5	0	0
Foxe3	0	0	0	0
Gm17821	0	1	0	0
Suz12	4281	5783	5004	5649
Aicda	0	0	2	0
Mir335	0	0	0	0
Chmp4b	302	260	405	410
Vmn1r122	0	0	0	0
1810041L15Rik	0	0	0	1
7630403G23Rik	0	0	1	0
Odf3	1	0	0	0
Odf2	2529	2454	3055	2992
Odf1	0	0	0	0
Tinagl1	0	0	0	1
Odf4	0	0	2	0
Mir1957b	0	0	0	0
Mir1957a	0	0	0	0
Myocd	0	0	0	0
Trmt10a	299	201	293	324
Gm20300	465	488	476	584
Trmt10b	508	468	426	372
Zranb1	969	945	1046	878
Zranb3	228	54	222	215
Zranb2	1891	1878	2163	2263
Gm9696	0	0	0	2
Efr3a	13812	15125	14135	17393
Crnkl1	2687	2772	2870	2843
Efr3b	41	38	2	35
Lad1	0	17	0	15
Gsdmc4	3	2	20	19
Gsdmc2	0	0	0	0
Gsdmc3	2	0	0	0
Uox	0	0	0	0
4930474G06Rik	0	0	0	0
Mrpl4	1964	1872	2222	2453
Mrpl2	667	772	831	1060
Mrpl3	1269	1160	1378	1363
Mrpl1	798	884	874	1043
Mtap7d3	4	18	46	4
Mrpl9	1218	1256	1365	1545
Esp16	0	0	0	0
Esp15	0	0	0	0
Esp18	0	0	0	0
Gm2762	0	0	1	0
Rabac1	4110	4457	4124	5054
4930455C13Rik	18	15	28	19
BC055324	253	111	154	211
Gm15760	34	54	25	11
Kcnj1	17	0	0	0
2610507B11Rik	9897	8651	11534	11373
Msx1os	0	0	0	0
2010001A14Rik	18	11	34	27
Hira	575	566	724	591
Gm19619	0	0	0	0
Gpr75	0	0	0	0
Mir344g	0	0	0	0
Mir344e	0	0	0	0
Mir344b	0	0	0	0
Mir344c	0	0	0	0
Wwox	288	234	369	306
Pias3	645	575	1032	935
Mir344i	0	0	0	0
6030408B16Rik	0	2	5	1
1700011A15Rik	0	0	0	0
Fgfr1op	610	579	536	766
Ccdc33	0	0	0	0
Csrnp1	495	466	589	753
Csrnp2	210	244	117	146
Kcnj5	0	0	0	0
A630012P03Rik	0	0	0	0
Gins2	108	60	161	187
Gins3	321	396	455	649
Gins1	7	28	37	32
Gtf3c5	1154	929	1101	950
Gins4	793	914	841	1014
Fbf1	467	536	730	662
Gm136	0	0	0	0
Pdzk1	223	225	266	170
AA413626	8	9	18	4
Asna1	749	732	716	958
Tmem181c-ps	20	7	76	50
Ccnb1ip1	0	0	0	0
Galk1	529	489	868	1053
Galk2	832	757	837	884
4930545H06Rik	0	0	0	0
9330133O14Rik	242	206	219	303
Rbmx2	310	366	302	410
Adprh	1996	2157	2237	2650
Adprm	834	1013	924	947
Cryz	138	75	104	75
Crym	0	0	1	0
Aasdh	785	848	772	826
4930444P10Rik	0	0	0	0
Lrwd1	1481	1399	1718	1579
Toporsos	152	187	221	229
Kdm6a	3346	2141	3447	2233
Kdm6b	204	232	325	293
Fem1b	1460	1262	1178	1163
Fem1c	539	684	719	906
Fem1a	1818	1960	1835	2246
Ces3b	0	0	1	0
Ces3a	0	0	0	0
Cry1	1740	2192	1803	1561
Cry2	346	269	353	572
Rhox3e	0	0	0	0
Rhox3f	0	0	0	0
Rhox3g	0	0	0	0
Rhox3a	0	0	0	0
Rhox3c	0	0	0	0
Rhox3h	0	0	0	0
Nus1	1530	1734	1543	1952
Pcgf1	180	317	294	287
4930549G23Rik	77	71	119	92
Pcgf3	341	365	318	387
Pcgf2	27	46	39	69
Pcgf5	624	866	659	778
Pcgf6	613	586	796	773
Ccndbp1	2564	2710	2919	3200
Bend6	87	34	212	105
